Question,Option A,Option B,Option C,Option D,Answer
What is 0.75 as a fraction?,3/4,7/5,5/8,1/2,A
Sum of 0.6 and 0.35 is?,0.95,0.85,0.75,1.05,A
Difference of 1.2 - 0.45 is?,0.75,0.85,0.65,0.55,A
Product of 0.4 × 0.5 is?,0.2,0.9,0.1,0.3,A
Quotient of 0.81 ÷ 0.9 is?,0.9,0.8,1,1.1,A
Which of the following is a terminating decimal?,0.75,1/3,0.666...,0.333...,A
0.125 in fraction form is?,1/8,1/4,3/8,2/5,A
Sum of 1.25 + 2.75 is?,4,3,5,6,A
Difference of 3.5 - 1.75 is?,1.75,2,2.5,1.5,A
0.6 × 0.3 equals?,0.18,0.2,0.16,0.15,A
Quotient of 0.45 ÷ 0.5 is?,0.9,0.95,1.05,1,A
Which decimal is greater?,0.8,0.75,0.78,0.7,A
0.9 as fraction is?,9/10,1/10,1/9,9/9,A
The sum of 0.35 + 0.65 is?,1,0.95,0.9,1.1,A
Difference of 2.5 - 1.25 is?,1.25,1.5,1,2,A
0.7 × 0.6 equals?,0.42,0.4,0.36,0.45,A
Quotient of 1.2 ÷ 0.4 is?,3,2,4,2.5,A
Which decimal repeats?,0.666...,0.75,0.125,0.5,A
Convert 7/8 to decimal?,0.875,0.8750,0.78,0.85,A
Sum of 0.45 + 0.55 + 0.5 is?,1.5,1.4,1.45,1.55,A
Difference of 1.8 - 0.75 is?,1.05,1.25,1,1.15,A
0.25 × 0.4 equals?,0.1,0.15,0.2,0.12,A
Quotient of 0.36 ÷ 0.6 is?,0.6,0.5,0.9,0.7,A
Which decimal is smallest?,0.45,0.5,0.55,0.48,A
Convert 3/5 to decimal?,0.6,0.5,0.65,0.7,A
Sum of 0.125 + 0.375 is?,0.5,0.45,0.6,0.625,A
Difference of 0.9 - 0.75 is?,0.15,0.25,0.2,0.1,A
0.8 × 0.25 equals?,0.2,0.25,0.15,0.18,A
Quotient of 1 ÷ 0.4 is?,2.5,2,2.25,3,A
Which of the following decimals is greater?,0.999,0.98,0.995,0.97,A
0.375 as fraction is?,3/8,3/4,1/4,5/8,A
The sum of 0.45 + 0.3 + 0.25 is?,1,0.95,0.9,1.05,A
Difference of 2.5 - 1.75 is?,0.75,1,1.25,0.85,A
0.6 × 0.7 equals?,0.42,0.4,0.36,0.45,A
Quotient of 0.81 ÷ 0.9 is?,0.9,0.8,1,1.1,A
Which decimal is a terminating decimal?,0.875,0.666...,0.333...,0.121212...,A
Convert 5/8 to decimal?,0.625,0.65,0.68,0.6,A
Sum of 0.25 + 0.5 + 0.1 is?,0.85,0.75,0.9,0.8,A
Difference of 1.5 - 0.65 is?,0.85,0.8,0.9,0.75,A
0.2 × 0.35 equals?,0.07,0.06,0.08,0.05,A
Quotient of 0.49 ÷ 0.7 is?,0.7,0.6,0.8,0.9,C
Which decimal is greater?,0.875,0.87,0.86,0.865,A
0.3 as fraction is?,3/10,3/9,3/5,1/3,A
Sum of 0.4 + 0.55 + 0.05 is?,1,0.95,1.05,0.9,A
Difference of 0.9 - 0.45 is?,0.45,0.4,0.5,0.35,A
0.125 × 0.4 equals?,0.05,0.06,0.04,0.08,A
Quotient of 0.81 ÷ 0.9 is?,0.9,0.8,1,1.1,A
Which decimal repeats?,0.666...,0.75,0.875,0.5,A
Convert 7/10 to decimal?,0.7,0.75,0.65,0.8,A
