Question,Option A,Option B,Option C,Option D,Answer
To draw a triangle, we need?,Base and height,Three sides,Three angles,All of these,D
A compass is used to draw?,Circle,Line,Square,Rectangle,A
Ruler is used to draw?,Straight lines,Circle,Curves,Angles,A
Protractor is used to measure?,Angles,Length,Area,Perimeter,A
To draw a perpendicular bisector, we use?,Compass,Ruler,Protractor,Set Square,A
A triangle with sides 3,4,5 is?,Right angled,Equilateral,Isosceles,Scalene,A
Equilateral triangle sides are?,All equal,Two equal,All unequal,Depends,A
Isosceles triangle sides?,Two equal,All equal,All unequal,Depends,A
Scalene triangle sides?,All unequal,All equal,Two equal,Depends,A
Right angled triangle has?,One right angle,Two right angles,No right angle,Three right angles,A
Sum of angles in triangle?,180°,360°,90°,270°,A
Sum of angles in quadrilateral?,360°,180°,270°,90°,A
Angle of equilateral triangle?,60°,90°,45°,120°,A
Angle of right triangle?,90°,60°,45°,180°,A
Angle of isosceles triangle?,Depends,60°,90°,45°,A
To draw a square, we need?,Side length,Angle,Compass,Ruler,A
To draw a rectangle, we need?,Length and breadth,All sides,Angles only,Radius,A
Circle radius is measured using?,Compass,Ruler,Protractor,Set Square,A
Perpendicular line is?,Forms 90° with another line,Forms 60° with line,Forms 45° with line,Parallel line,A
Angle bisector divides angle into?,Two equal parts,Two unequal parts,Three parts,Four parts,A
Median of triangle?,Line joining vertex to midpoint of opposite side,Height,Base,Angle,A
Altitude of triangle?,Line from vertex perpendicular to opposite side,Base,Median,Angle,A
Circumcircle of triangle?,Circle passing through vertices,Inside circle,Outside circle,Area,A
Incircle of triangle?,Circle inside triangle touching all sides,Outside circle,Through vertices,Area,A
To draw perpendicular from point on line?,Use compass,Ruler,Protractor,Set Square,A
To draw perpendicular from point outside line?,Use compass,Ruler,Protractor,Set Square,A
Right angled triangle sides 3,4,5, which is hypotenuse?,5,3,4,6,A
Sum of angles in pentagon?,540°,360°,180°,720°,A
Sum of angles in hexagon?,720°,540°,360°,600°,A
Sum of angles in quadrilateral?,360°,180°,540°,720°,A
Which tool measures 180°?,Protractor,Ruler,Compass,Set Square,A
Which tool draws arcs?,Compass,Ruler,Protractor,Set Square,A
Square has how many right angles?,4,3,2,1,A
Rectangle has how many right angles?,4,3,2,1,A
Equilateral triangle angles?,All 60°,All 90°,All 45°,All 120°,A
Right triangle angles?,One 90°,Two 90°,No 90°,Three 90°,A
Isosceles triangle angles?,Two equal angles,All equal,All unequal,Depends,A
Median of triangle from vertex?,Joins vertex to midpoint of opposite side,Joins vertex to base,Joins vertex to angle,Joins midpoint to midpoint,A
Altitude from vertex?,Perpendicular to opposite side,Line along base,Line along side,Diagonal,A
Bisector divides angle?,Into two equal parts,Into unequal parts,Into three parts,Into four parts,A
To draw circle of radius 5 cm?,Use compass,Ruler,Protractor,Set Square,A
To draw perpendicular to line at point?,Compass,Ruler,Set Square,Protractor,C
To draw perpendicular from outside point?,Compass,Ruler,Set Square,Protractor,C
Which is hypotenuse?,Longest side of right triangle,Shortest side,Middle side,Depends,A
To draw triangle using 3 sides?,SAS method,SSS method,ASA method,AAS method,B
To draw triangle using 2 sides and included angle?,SAS method,SSS method,ASA method,AAS method,A
To draw triangle using 2 angles and included side?,SAS method,SSS method,ASA method,AAS method,C
To draw triangle using 3 angles?,AAA method,SAS method,SSS method,ASA method,A
