Chapter,Question,Option A,Option B,Option C,Option D,Answer
Algebra,Which of the following is an algebraic expression?,3x + 5,5 + 2,7,3/4,3x + 5
Algebra,What is the coefficient in 7x?,7,1,x,0,7
Algebra,What is the constant in 5x + 3?,3,5,x,0,3
Algebra,Value of 3x when x = 4?,12,7,1,10,12
Algebra,Value of 2a + 5 when a = 3?,11,10,7,12,11
Algebra,Which is a term in 4x + 5y - 7?,4x,5,7,All,4x
Algebra,Simplify 3x + 2x?,5x,6x,1x,2x,5x
Algebra,Simplify 7y - 3y?,4y,10y,3y,7y,4y
Algebra,Which is an example of like terms?,3x and 5x,3x and 5y,2x and 3y,4y and 5x,3x and 5x
Algebra,Which is an example of unlike terms?,2x and 3y,3x and 5x,4a and 7a,5m and 2m,2x and 3y
Algebra,Simplify 5a + 3b + 2a + b?,7a + 4b,5a + 3b,7a + 3b,3a + 4b,7a + 4b
Algebra,Value of 2x + 3y when x=2, y=3?,13,12,10,11,13
Algebra,Value of 4m - n when m=3, n=5?,7,6,5,8,7
Algebra,Which is a variable?,x,5,7,10,x
Algebra,Which is a constant?,7,x,2y,3x,7
Algebra,Simplify 6x + 2 - 3x + 5?,3x + 7,3x + 3,6x + 7,9x + 7,3x + 7
Algebra,Simplify 4a + 7 - 2a - 3?,2a + 4,2a + 3,6a + 4,4a + 4,2a + 4
Algebra,Value of x + y + z when x=2, y=3, z=5?,10,9,8,11,10
Algebra,Coefficient of y in 7y + 3?,7,3,10,1,7
Algebra,Constant term in 5x + 9?,9,5,14,0,9
Algebra,Simplify 2x + 3x + 4?,5x + 4,6x,2x + 3x + 4,5x,5x + 4
Algebra,Simplify 6y - 2y + 7?,4y + 7,4y + 5,6y + 7,8y + 7,4y + 7
Algebra,Value of 3a + 2b when a=2, b=3?,12,10,9,11,12
Algebra,Value of 5x - 3y when x=4, y=2?,14,13,10,16,14
Algebra,Simplify 7m + 3n - 2m + n?,5m + 4n,5m + 3n,9m + 4n,5m + 5n,5m + 4n
Algebra,Like terms in 3x + 2y + 5x?,3x and 5x,2y and 5x,3x and 2y,All,3x and 5x
Algebra,Unlike terms in 4a + 3b?,4a and 3b,4a and 4a,3b and 3b,4a and 7a,4a and 3b
Algebra,Value of 2x + 3y - z when x=1, y=2, z=3?,4,5,6,3,4
Algebra,Which of the following is an algebraic term?,5x,7,9/2,All,5x
Algebra,Simplify 8x - 3 + 2x + 5?,10x + 2,10x + 8,6x + 2,8x + 2,10x + 2
Algebra,Simplify 5a - 2b + 3a + b?,8a - b,7a - b,8a + b,5a - b,8a - b
Algebra,Value of x - y + z when x=5, y=2, z=3?,6,5,7,8,6
Algebra,Coefficient of x in 9x - 3y?,9,3,1,0,9
Algebra,Constant term in 7x + 4y + 5?,5,4,7,3,5
Algebra,Simplify 4x + 2y + 3x + 5y?,7x + 7y,7x + 5y,5x + 7y,7x + 8y,7x + 7y
Algebra,Value of 2a + 3b + c when a=1, b=2, c=3?,10,9,8,11,10
Algebra,Which is variable in 5x + 7y?,x and y,5,7,All,x and y
Algebra,Which is constant term in 2x + 5y + 7?,7,2,5,x,7
Algebra,Value of 3p + 4q when p=2, q=1?,10,9,11,12,10
Algebra,Simplify 6x + 7 - 2x - 3?,4x + 4,4x + 3,6x + 4,8x + 4,4x + 4
Algebra,Simplify 5a + 3b + 2a - b?,7a + 2b,7a + 4b,6a + 2b,6a + 4b,7a + 2b
Algebra,Value of x + 2y - z when x=3, y=2, z=4?,3,4,5,2,3
Algebra,Simplify 4x + 5 + 2x - 3?,6x + 2,6x + 3,5x + 2,4x + 2,6x + 2
Algebra,Value of 3m + 2n - p when m=2, n=3, p=4?,6,7,8,5,6
Algebra,Simplify 7x + 3y + 2x - y?,9x + 2y,9x + 4y,7x + 2y,8x + 2y,9x + 2y
Algebra,Value of 2a + b + c when a=3, b=2, c=1?,9,8,7,10,9
Algebra,Which of the following is an algebraic expression?,4x + 7,5 + 3,2/3,10,4x + 7
Algebra,Simplify 3x + 5 - x + 2?,2x + 7,4x + 7,2x + 5,3x + 7,2x + 7
Algebra,Value of 5p - 2q when p=2, q=3?,4,3,5,6,4
Algebra,Coefficient of y in 8y + 3x?,8,3,1,0,8
Algebra,Constant term in 6x + 4?,4,6,0,1,4
Algebra,Value of 3a + 2b when a=1, b=2?,7,5,6,8,7
Algebra,Simplify 5x + 3 + 2x - 1?,7x + 2,7x + 4,6x + 2,5x + 2,7x + 2
Algebra,Which of the following is a variable?,x,5,3,7,x
Algebra,Which of the following is constant?,9,5x,3y,2z,9
