Chapter,Question,Option A,Option B,Option C,Option D,Answer
Symmetry,What is symmetry?,Exact similarity on both sides,Shape,Color,Size,Exact similarity on both sides
Symmetry,Line of symmetry divides a figure into?,Two identical halves,Three halves,Unequal parts,Four parts,Two identical halves
Symmetry,Which shape has 4 lines of symmetry?,Square,Rectangle,Triangle,Circle,Square
Symmetry,How many lines of symmetry does a circle have?,Infinite,1,2,4,Infinite
Symmetry,How many lines of symmetry does an equilateral triangle have?,3,1,2,4,3
Symmetry,Which is a symmetric shape?,Rectangle,Scalene triangle,Irregular shape,Circle,Rectangle
Symmetry,Vertical line of symmetry divides figure into?,Left and right halves,Top and bottom,Diagonal halves,Unequal halves,Left and right halves
Symmetry,Horizontal line of symmetry divides figure into?,Top and bottom halves,Left and right,Diagonal halves,All halves,Top and bottom halves
Symmetry,An isosceles triangle has how many lines of symmetry?,1,2,3,0,1
Symmetry,Regular pentagon has how many lines of symmetry?,5,4,3,0,5
Symmetry,Regular hexagon has how many lines of symmetry?,6,5,4,3,6
Symmetry,Line of symmetry can be?,Horizontal,Vertical,Both,Diagonal,Both
Symmetry,Which of these has no line of symmetry?,Scalene triangle,Square,Rectangle,Circle,Scalene triangle
Symmetry,Which is an example of rotational symmetry?,Circle,Rectangle,Triangle,Square,Circle
Symmetry,Number of lines of symmetry in a rectangle?,2,4,1,0,2
Symmetry,Number of lines of symmetry in a square?,4,2,1,0,4
Symmetry,Which shape has infinite lines of symmetry?,Circle,Square,Rectangle,Triangle,Circle
Symmetry,Line symmetry is also called?,Mirror symmetry,Rotational,Translation,None,Mirror symmetry
Symmetry,Rotational symmetry is when figure looks same after?,Rotation,Reflection,Translation,Scaling,Rotation
Symmetry,How many lines of symmetry in a regular hexagon?,6,3,4,5,6
Symmetry,How many lines of symmetry in a regular pentagon?,5,3,4,6,5
Symmetry,Which is an asymmetric shape?,Scalene triangle,Circle,Square,Rectangle,Scalene triangle
Symmetry,Vertical symmetry is?,Mirror along vertical line,Mirror along horizontal line,Mirror along diagonal line,Mirror along curve,Mirror along vertical line
Symmetry,Horizontal symmetry is?,Mirror along horizontal line,Mirror along vertical line,Mirror along diagonal,Mirror along curve,Mirror along horizontal line
Symmetry,Line symmetry is also known as?,Reflection symmetry,Rotational symmetry,Translation symmetry,All,Reflection symmetry
Symmetry,If a shape has 2 lines of symmetry, it could be?,Rectangle,Square,Equilateral triangle,Circle,Rectangle
Symmetry,Number of lines of symmetry in equilateral triangle?,3,1,2,0,3
Symmetry,Number of lines of symmetry in isosceles triangle?,1,2,3,0,1
Symmetry,Which of the following has no line of symmetry?,Scalene triangle,Square,Circle,Rectangle,Scalene triangle
Symmetry,Line of symmetry divides shape into?,Mirror images,Unequal parts,Different shapes,All of these,Mirror images
Symmetry,Which shape has infinite lines of symmetry?,Circle,Square,Rectangle,Triangle,Circle
Symmetry,Line of symmetry can be?,Vertical,Horizontal,Both,Diagonal,Both
Symmetry,Which of these has rotational symmetry?,Circle,Scalene triangle,Irregular shape,Rectangle,Circle
Symmetry,Which of the following has exactly 4 lines of symmetry?,Square,Rectangle,Circle,Scalene triangle,Square
Symmetry,How many lines of symmetry in rectangle?,2,1,4,0,2
Symmetry,How many lines of symmetry in square?,4,2,1,0,4
Symmetry,How many lines of symmetry in regular hexagon?,6,3,4,5,6
Symmetry,How many lines of symmetry in regular pentagon?,5,3,4,6,5
Symmetry,Which is an asymmetric shape?,Scalene triangle,Square,Rectangle,Circle,Scalene triangle
Symmetry,Vertical symmetry divides figure into?,Left and right halves,Top and bottom,Diagonal halves,All halves,Left and right halves
Symmetry,Horizontal symmetry divides figure into?,Top and bottom halves,Left and right,Diagonal halves,All halves,Top and bottom halves
Symmetry,Mirror symmetry is also called?,Line symmetry,Rotational,Translation,Scaling,Line symmetry
Symmetry,Rotational symmetry occurs when?,Figure looks same after rotation,Figure looks same after reflection,Figure is scaled,Figure is translated,Figure looks same after rotation
Symmetry,Which triangle has 1 line of symmetry?,Isosceles,Equilateral,Scalene,Right angled,Isosceles
Symmetry,Which triangle has 3 lines of symmetry?,Equilateral,Isosceles,Scalene,Right angled,Equilateral
Symmetry,Number of lines of symmetry in rectangle?,2,4,1,0,2
Symmetry,Number of lines of symmetry in square?,4,2,1,0,4
Symmetry,Asymmetric figure is?,Scalene triangle,Square,Circle,Rectangle,Scalene triangle
Symmetry,Vertical line symmetry divides figure into?,Left and right halves,Top and bottom,Diagonal halves,All halves,Left and right halves
Symmetry,Horizontal line symmetry divides figure into?,Top and bottom halves,Left and right,Diagonal halves,All halves,Top and bottom halves
Symmetry,Line of symmetry in circle?,Infinite,1,2,4,Infinite
