Chapter,Question,Option A,Option B,Option C,Option D,Answer
Practical Geometry,Which tool is used to draw a circle?,Compass,Ruler,Protractor,Set square,Compass
Practical Geometry,Which tool is used to measure angles?,Protractor,Ruler,Compass,Divider,Protractor
Practical Geometry,Which tool is used to draw straight lines?,Ruler,Compass,Protractor,Divider,Ruler
Practical Geometry,Which tool is used to draw perpendicular lines?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Divider is used for?,Measuring distances,Drawing angles,Drawing circle,Drawing rectangle,Measuring distances
Practical Geometry,Which tool is used to draw arcs?,Compass,Ruler,Protractor,Set square,Compass
Practical Geometry,Which tool is used to draw parallel lines?,Set square,Ruler,Compass,Protractor,Set square
Practical Geometry,Which instrument is used to bisect an angle?,Protractor,Compass,Ruler,Divider,Compass
Practical Geometry,Which instrument is used to draw a triangle?,Ruler and Set square,Compass,Protractor,Divider,Ruler and Set square
Practical Geometry,Which instrument is used to draw a quadrilateral?,Ruler and Set square,Compass,Protractor,Divider,Ruler and Set square
Practical Geometry,How many degrees in a right angle?,90°,45°,60°,180°,90°
Practical Geometry,How many degrees in a straight angle?,180°,90°,45°,360°,180°
Practical Geometry,How many degrees in a full circle?,360°,180°,90°,270°,360°
Practical Geometry,Bisector divides angle into?,Two equal parts,Three equal parts,Four parts,Unequal parts,Two equal parts
Practical Geometry,Which instrument is used to draw a perpendicular bisector?,Compass,Protractor,Ruler,Set square,Compass
Practical Geometry,To draw a triangle, which tools are required?,Ruler and Compass,Ruler and Protractor,Compass and Protractor,Set square and Protractor,Ruler and Compass
Practical Geometry,To draw a square, which tools are required?,Ruler and Set square,Compass and Protractor,Ruler and Compass,Protractor and Divider,Ruler and Set square
Practical Geometry,To draw a circle, which tool is used?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,To measure a line, which tool is used?,Ruler,Compass,Protractor,Divider,Ruler
Practical Geometry,Which tool helps to draw angles accurately?,Protractor,Compass,Ruler,Set square,Protractor
Practical Geometry,Which tool is used to measure line segments?,Ruler,Compass,Protractor,Set square,Ruler
Practical Geometry,Which tool is used to draw arcs of circles?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to draw perpendicular from a point to a line?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Which tool is used to draw parallel lines through a point?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Which tool is used to divide a line into equal parts?,Divider,Protractor,Ruler,Compass,Divider
Practical Geometry,Which tool is used to draw an angle of 60°?,Compass,Protractor,Ruler,Set square,Compass
Practical Geometry,Which tool is used to draw an angle of 90°?,Set square,Compass,Protractor,Ruler,Set square
Practical Geometry,Which tool is used to measure angle of 30°?,Protractor,Ruler,Compass,Divider,Protractor
Practical Geometry,Which tool is used to draw a regular hexagon?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to draw a perpendicular from vertex of triangle?,Compass,Set square,Ruler,Protractor,Compass
Practical Geometry,To draw tangent to a circle, which tool is used?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to draw a bisector of line?,Divider,Ruler,Compass,Protractor,Divider
Practical Geometry,Which tool is used to copy line segments?,Divider,Protractor,Compass,Ruler,Divider
Practical Geometry,Which tool is used to measure angles in triangle?,Protractor,Ruler,Compass,Divider,Protractor
Practical Geometry,Which tool is used to draw equilateral triangle?,Compass and Ruler,Set square,Ruler and Protractor,Divider,Compass and Ruler
Practical Geometry,Which tool is used to draw perpendicular bisector of line?,Compass,Set square,Ruler,Protractor,Compass
Practical Geometry,Which tool is used to draw parallel lines at given distance?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Which tool is used to draw rhombus?,Ruler and Set square,Compass,Protractor,Divider,Ruler and Set square
Practical Geometry,Which tool is used to draw perpendicular from point outside the line?,Compass,Set square,Ruler,Protractor,Compass
Practical Geometry,Which tool is used to draw tangent to a circle from outside point?,Compass,Set square,Ruler,Protractor,Compass
Practical Geometry,Which tool is used to divide an angle into two equal parts?,Compass,Protractor,Ruler,Divider,Compass
Practical Geometry,Which tool is used to construct triangle given sides?,Compass and Ruler,Set square,Protractor,Divider,Compass and Ruler
Practical Geometry,Which tool is used to construct circle passing through a point?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to draw regular pentagon?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to measure length of line segment?,Ruler,Compass,Protractor,Set square,Ruler
Practical Geometry,Which tool is used to draw angles accurately?,Protractor,Ruler,Compass,Set square,Protractor
Practical Geometry,Which tool is used to draw a perpendicular line from a point on line?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Which tool is used to draw a parallel line through a given point?,Set square,Compass,Ruler,Protractor,Set square
Practical Geometry,Which tool is used to draw perpendicular bisector of triangle side?,Compass,Set square,Ruler,Protractor,Compass
Practical Geometry,Which tool is used to draw circle with given radius?,Compass,Ruler,Protractor,Divider,Compass
Practical Geometry,Which tool is used to construct angle bisector?,Compass,Protractor,Ruler,Set square,Compass
Practical Geometry,Which tool is used to copy angles?,Compass,Protractor,Ruler,Set square,Compass
Practical Geometry,Which tool is used to draw triangle with given base and angles?,Compass,Protractor and Ruler,Set square,Divider,Protractor and Ruler
Practical Geometry,Which tool is used to construct a square?,Ruler and Set square,Compass,Protractor,Divider,Ruler and Set square
