Question,Option A,Option B,Option C,Option D,Answer
Which is a proper fraction?,3/4,5/3,7/2,9/5,A
Which is an improper fraction?,7/4,2/3,1/2,3/5,A
Which is a unit fraction?,1/7,2/7,3/7,4/7,A
Equivalent fraction of 1/2?,2/4,3/4,1/4,3/2,A
Equivalent fraction of 2/3?,4/6,3/4,1/3,2/5,A
Numerator is?,Top number,Bottom number,Middle number,Whole number,A
Denominator is?,Bottom number,Top number,Middle number,Whole number,A
Which are like fractions?,1/4 and 3/4,1/2 and 2/3,2/5 and 3/7,1/3 and 2/5,A
Which are unlike fractions?,1/2 and 2/3,1/4 and 3/4,2/5 and 2/5,3/7 and 3/7,A
1/2 + 1/2 =?,1,1/2,0,2,A
3/4 + 1/4 =?,1,1/2,2,3/4,A
5/6 - 1/6 =?,2/3,1/2,4/6,5/6,C
1/3 + 2/3 =?,1,1/3,2/3,0,A
7/8 - 3/8 =?,1/2,1/4,1/3,4/8,D
Which fraction is greater?,3/4 or 2/4,3/4,2/4,1/2,1/4,A
Simplest form of 4/8?,1/2,2/4,3/8,1/4,A
Mixed fraction of 7/4?,1 3/4,1 1/4,2 1/4,1 2/4,A
Improper fraction of 1 1/2?,3/2,2/1,2/3,1/2,A
What is 1/2 of 1/4?,1/8,1/6,1/4,1/2,A
What is 2/3 of 3/4?,1/2,1/3,1/4,2/3,A
Sum of 1/6 + 1/3?,1/2,1/3,1/6,2/3,A
Difference 3/4 - 1/2?,1/4,1/2,1/3,1/8,A
Multiply 2/3 × 3/4?,1/2,1/4,1/3,2/3,A
Divide 1/2 ÷ 1/4?,2,1,4,1/2,A
Which fraction is smallest?,1/5,1/3,1/2,2/5,A
Which fraction is largest?,3/4,1/2,2/3,1/4,A
1/3 + 1/3 =?,2/3,1/2,1,1/3,A
5/6 - 2/6 =?,1/2,1/3,1/2,1/2,A
Convert 3/2 to mixed fraction?,1 1/2,1 2/3,2 1/3,3 1/2,A
Add 1/4 + 1/4 + 1/4?,3/4,1/2,1,1/4,A
Subtract 7/8 - 1/8?,3/4,6/8,1/2,7/8,B
Which is proper fraction?,2/5,7/4,5/3,9/2,A
Which is improper fraction?,5/3,2/5,3/4,1/2,A
1/2 + 1/4 =?,3/4,1/2,1,1/4,A
1/3 + 2/6 =?,2/3,1/2,1/3,1/6,A
1/2 × 2/3 =?,1/3,1/2,2/3,1/4,A
2/5 ÷ 1/5 =?,2,1,5,1/5,A
Simplest form of 6/9?,2/3,3/6,1/2,1/3,A
1 2/3 as improper fraction?,5/3,4/3,7/3,2/3,A
Which is unit fraction?,1/9,2/9,3/9,4/9,A
Which are like fractions?,3/5 and 4/5,2/3 and 3/4,1/2 and 2/3,1/4 and 2/3,A
Which are unlike fractions?,1/2 and 2/3,2/4 and 3/6,1/3 and 2/6,1/5 and 2/10,A
Add 1/6 + 2/6?,1/2,1/3,1/6,1/4,A
Subtract 5/6 - 1/6?,2/3,1/2,4/6,1/6,C
Multiply 2/3 × 3/5?,2/5,1/2,6/15,1/3,C
Divide 4/5 ÷ 2/5?,2,1,4/5,2/5,A
Convert 7/4 to mixed fraction?,1 3/4,1 1/4,2 1/4,1 2/4,A
Sum of 1/2 + 1/3?,5/6,2/3,1/2,3/4,A
