Question,Option A,Option B,Option C,Option D,Answer
A line that divides a figure into two equal parts is called?,Line of symmetry,Axis of rotation,Median,Bisector,A
How many lines of symmetry does an equilateral triangle have?,3,1,2,4,A
A rectangle has how many lines of symmetry?,2,4,1,3,A
A square has how many lines of symmetry?,4,2,3,1,A
A circle has how many lines of symmetry?,Infinite,1,2,4,A
An isosceles triangle has how many lines of symmetry?,1,2,3,0,A
A scalene triangle has how many lines of symmetry?,0,1,2,3,A
A regular pentagon has how many lines of symmetry?,5,4,6,3,A
A regular hexagon has how many lines of symmetry?,6,5,4,3,A
A regular octagon has how many lines of symmetry?,8,6,7,4,A
Line symmetry is also called?,Reflection symmetry,Rotational symmetry,Translational symmetry,Point symmetry,A
Which shape has rotational symmetry but no line symmetry?,Swastika,Square,Rectangle,Circle,A
A figure symmetric about a point is called?,Point symmetric,Line symmetric,Rotational symmetric,Translational symmetric,A
The letter “H” has how many lines of symmetry?,2,1,3,4,A
The letter “S” has how many lines of symmetry?,0,1,2,3,A
The letter “X” has how many lines of symmetry?,2,1,0,3,A
The letter “O” has how many lines of symmetry?,Infinite,1,2,4,A
The letter “Z” has how many lines of symmetry?,0,1,2,3,A
A kite has how many lines of symmetry?,1,0,2,3,A
A rhombus has how many lines of symmetry?,2,1,0,3,A
Which polygon has as many lines of symmetry as its sides?,Regular polygon,Irregular polygon,Scalene polygon,Rectangle,A
An equilateral triangle is?,Line symmetric,Rotational symmetric,Both,Neither,C
A figure that looks same after rotation is called?,Rotational symmetric,Line symmetric,Point symmetric,Asymmetric,A
Which letter has 1 line of symmetry?,A,B,H,S,D,B
Which letter has 2 lines of symmetry?,X,H,O,Z,D,A,B
A regular hexagon has rotational symmetry of?,60°,90°,45°,120°,A
Rotational symmetry means?,Looks same after rotation,Divides into two equal parts,Changes shape,Rotates randomly,A
The number of lines of symmetry in a semicircle?,1,2,0,Infinite,A
An ellipse has how many lines of symmetry?,2,1,0,Infinite,A
A parallelogram has how many lines of symmetry?,0,1,2,4,A
Which shape has both line and rotational symmetry?,Square,Circle,Rectangle,Scalene triangle,A
The letter “T” has how many lines of symmetry?,1,2,0,3,A
The letter “I” has how many lines of symmetry?,2,1,0,3,A
A regular pentagon has rotational symmetry of?,72°,60°,90°,120°,A
The letter “V” has how many lines of symmetry?,1,2,0,3,A
The letter “M” has how many lines of symmetry?,1,2,0,3,B
Which of these has 4 lines of symmetry?,Square,Rectangle,Rhombus,Parallelogram,A
A semicircle has rotational symmetry of?,180°,90°,360°,0°,A
The letter “C” has how many lines of symmetry?,0,1,2,Infinite,A
The letter “L” has how many lines of symmetry?,0,1,2,3,A
The letter “D” has how many lines of symmetry?,1,0,2,3,A
The letter “E” has how many lines of symmetry?,0,1,2,3,A
Rotational symmetry of a square is?,90°,180°,60°,120°,A
Rotational symmetry of an equilateral triangle is?,120°,60°,180°,90°,A
Which letter has infinite lines of symmetry?,O,H,X,C,A
A rectangle rotated 180° looks?,Same,Different,Half changed,Mirrored,A
A shape having no symmetry is called?,Asymmetric,Symmetric,Line symmetric,Point symmetric,A
Which polygon has 8 lines of symmetry?,Regular octagon,Square,Rhombus,Triangle,A
A circle rotated any angle looks?,Same,Different,Half changed,Mirrored,A
A kite rotated 180° looks?,Different,Same,Half changed,Mirrored,A
The letter “N” has how many lines of symmetry?,0,1,2,3,A
A rhombus rotated 180° looks?,Same,Different,Half changed,Mirrored,A
