Question,Option A,Option B,Option C,Option D,Answer
A line of symmetry divides a figure into?,Two identical parts,Two different parts,Three parts,Four parts,A
A figure with one line of symmetry?,Leaf,Square,Circle,Triangle,A
A figure with two lines of symmetry?,Rectangle,Triangle,Circle,Hexagon,A
A figure with four lines of symmetry?,Square,Rectangle,Triangle,Circle,A
Circle has how many lines of symmetry?,Infinite,1,2,4,A
Triangle has how many lines of symmetry?,Depends on type,1,2,3,A
Equilateral triangle lines of symmetry?,3,1,2,4,A
Isosceles triangle lines of symmetry?,1,2,3,4,A
Scalene triangle lines of symmetry?,0,1,2,3,A
Rectangle lines of symmetry?,2,1,4,3,A
Square lines of symmetry?,4,2,1,3,A
A figure with rotational symmetry?,Circle,Square,Rectangle,Triangle,A
Rotational symmetry means?,Rotate and look same,Reflect,Stretch,Bend,A
Angle of rotation for square?,90°,45°,180°,60°,A
Angle of rotation for equilateral triangle?,120°,90°,60°,180°,A
Reflection means?,Mirror image,Rotate,Stretch,Translate,A
Which has no line of symmetry?,Scalene triangle,Square,Circle,Rectangle,A
Line symmetry is also called?,Mirror symmetry,Rotational symmetry,Translational symmetry,Glide symmetry,A
Vertical line of symmetry?,Divides top and bottom,Divides left and right,Divides diagonally,Divides corners,B
Horizontal line of symmetry?,Divides top and bottom,Divides left and right,Divides diagonally,Divides corners,A
How many lines of symmetry in a regular hexagon?,6,3,4,5,A
How many lines of symmetry in a regular pentagon?,5,3,4,6,A
Does rectangle have diagonal symmetry?,No,Yes,Sometimes,Depends,A
Square has rotational symmetry?,Yes,No,Sometimes,Depends,A
Circle rotational symmetry?,Yes,No,Only half,Depends,A
Equilateral triangle rotational symmetry?,Yes,No,180°,Depends,A
Isosceles triangle rotational symmetry?,No,Yes,Depends,Sometimes,A
Symmetry helps in?,Art and design,Math only,Science only,History only,A
Line symmetry of letter A?,1,2,0,3,A
Line symmetry of letter H?,1,2,0,3,B
Line symmetry of letter I?,1,2,0,3,B
Line symmetry of letter M?,1,2,0,3,B
Line symmetry of letter T?,1,2,0,3,A
Line symmetry of letter O?,1,2,0,3,B
Line symmetry of letter X?,1,2,0,3,B
Line symmetry of letter Z?,1,2,0,3,A
A figure with rotational but no line symmetry?,Swastika,Square,Circle,Triangle,A
Symmetry in nature example?,Leaf,Stone,Water,Soil,A
Rotational symmetry angle for rectangle?,180°,90°,120°,60°,A
Rotational symmetry angle for circle?,Any angle,90°,180°,60°,A
Rotational symmetry angle for equilateral triangle?,120°,90°,60°,180°,A
Rotational symmetry angle for square?,90°,180°,45°,60°,A
Vertical symmetry of triangle?,Isosceles triangle,Equilateral triangle,Scalene triangle,Right triangle,A
Horizontal symmetry of letter B?,No,Yes,Depends,Sometimes,B
How many symmetry lines in regular octagon?,8,4,6,2,A
Regular hexagon rotational symmetry?,60°,120°,90°,45°,A
Regular pentagon rotational symmetry?,72°,90°,60°,120°,A
Line symmetry helps in?,Designing logos,Painting,Only drawing,History,A
Rotational symmetry helps in?,Patterns,History,Writing,Painting,A
A figure with 2 lines symmetry?,Rectangle,Square,Triangle,Circle,A
Line symmetry of letter C?,0,1,2,3,B
Line symmetry of letter E?,1,2,0,3,A
