Question,Option A,Option B,Option C,Option D,Answer
Which of the following is a proper fraction?,5/8,9/4,7/6,12/5,A
An improper fraction has?,Numerator < Denominator,Numerator > Denominator,Numerator = 0,Denominator > Numerator,B
A mixed fraction is?,Integer + Fraction,Only integer,Only fraction,Denominator + Numerator,A
Sum of 1/4 and 2/4 is?,3/4,1/2,1/4,2/4,A
Difference of 5/6 and 1/3 is?,1/2,2/3,1/3,1/6,A
Product of 2/3 and 3/4 is?,1/2,1/4,1,1/3,A
Quotient of 3/5 ÷ 2/5 is?,3/2,2/3,1,5/6,A
Which fraction is equivalent to 2/3?,4/6,3/5,5/6,6/5,A
Simplest form of 8/12 is?,2/3,3/4,4/6,1/2,A
Reciprocal of 7/8 is?,8/7,7/8,-7/8,1/7,A
Sum of 2/5 + 3/10 is?,7/10,1/2,1/5,5/10,A
Difference of 7/8 - 1/4 is?,5/8,3/4,1/2,1/4,A
Product of 3/7 × 14/3 is?,2,1,7,6,A
Quotient of 9/10 ÷ 3/5 is?,3/2,2/3,1/2,5/6,A
Which fraction is greater, 3/4 or 2/3?,3/4,2/3,Equal,1/2,A
The mixed fraction 3 1/2 is equal to?,7/2,5/2,6/2,3/2,A
The improper fraction 11/4 is equal to mixed fraction?,2 3/4,3 1/4,2 1/2,2 1/4,A
Simplest form of 45/60 is?,3/4,4/5,5/6,2/3,A
The sum of 1/2 + 2/3 + 1/6 is?,3/2,1,2,5/6,A
Reciprocal of 5 is?,1/5,5,0,1/1,A
Which fraction is equivalent to 4/5?,8/10,3/5,5/8,6/10,A
The difference of 7/9 - 2/9 is?,5/9,4/9,3/9,1/9,A
Product of 2/3 × 9/4 is?,3/2,1/2,2/3,1,A
Quotient of 5/6 ÷ 2/3 is?,5/4,3/5,1/2,4/5,A
Which of the following is a unit fraction?,1/5,2/5,3/4,5/1,A
The sum of 3/8 + 5/8 is?,1,8/8,1/2,3/4,A
Difference of 9/10 - 3/5 is?,3/10,2/5,1/2,1/10,A
The product of 4/5 × 5/6 is?,2/3,4/5,3/5,5/6,A
The quotient of 7/8 ÷ 7/16 is?,2,1,1/2,3/2,A
Which fraction is greater, 5/6 or 4/5?,5/6,4/5,Equal,1/2,A
The improper fraction 13/4 is equal to mixed fraction?,3 1/4,3 3/4,2 1/4,3 2/4,B
Simplest form of 36/48 is?,3/4,2/3,4/5,5/6,A
Sum of 1/3 + 2/9 + 1/6 is?,11/18,1/2,5/6,1/3,A
Difference of 7/12 - 1/4 is?,1/3,1/2,1/4,1/6,A
Product of 5/8 × 16/5 is?,2,1,5,8,A
Quotient of 9/10 ÷ 3/2 is?,3/5,3/2,2/3,1/2,A
Reciprocal of 1/2 is?,2,1/2,1,1/4,A
Which fraction is equivalent to 6/9?,2/3,3/2,1/3,1/2,A
The sum of 5/12 + 1/6 + 1/4 is?,3/4,1/2,5/6,2/3,A
Difference of 11/15 - 2/5 is?,1/3,3/5,2/3,1/2,A
Product of 7/9 × 9/14 is?,1/2,2/3,3/4,1,A
Quotient of 5/6 ÷ 2/3 is?,5/4,3/5,1/2,4/5,A
Which of the following is a proper fraction?,2/7,9/4,5/3,7/5,A
The sum of 2/3 + 3/4 is?,17/12,5/6,1,7/6,A
Difference of 9/10 - 1/2 is?,2/5,4/5,3/5,1/2,A
The product of 3/5 × 10/9 is?,2/3,1/2,5/3,1,A
Quotient of 7/8 ÷ 1/2 is?,7/4,1/4,2/7,3/4,A
The mixed fraction 2 2/5 is equal to improper fraction?,12/5,10/5,11/5,13/5,A
Simplest form of 50/60 is?,5/6,4/5,6/7,3/4,A
The sum of 3/10 + 7/20 + 1/4 is?,9/10,1/2,7/10,3/4,A
The difference of 5/6 - 1/3 is?,1/2,2/3,1/3,1/4,A
