Question,Answer
"The narrator’s grandfather owned the banyan tree.",False
"The banyan tree was older than the grandfather.",True
"The narrator built a small platform in the tree to sit and read.",True
"The narrator's first friend in the tree was a small grey squirrel.",True
"The squirrel initially thought the boy was a threat.",True
"The narrator used to feed the squirrel pieces of cake and biscuit.",True
"The banyan tree was full of birds and insects during the spring.",True
"The narrator saw the fight between the cobra and the mongoose in winter.",False
"The cobra was a huge black one.",True
"The mongoose was three feet long and very grey.",True
"A mongoose is known to be a superb fighter and very fast.",True
"The cobra and the mongoose met in the clearing under the tree.",True
"The cobra stood on its tail and spread its broad hood.",True
"The cobra’s tongue was flickering in and out.",True
"The mongoose stayed still and didn't move during the fight.",False
"Two spectators, a magpie and a myna, watched the fight.",True
"The magpie and the myna only watched and did not interfere.",False
"The magpie was killed during the fight.",True
"The myna survived the fight and flew away.",True
"The mongoose eventually killed the cobra.",True
"The narrator told his grandfather about the fight.",True
"Grandfather was unhappy that the mongoose killed the snake.",False
"The banyan tree had many twisting branches that reached the ground.",True
"The narrator spent his afternoons reading books in the tree.",True
"The squirrel would delve into the narrator's pockets for food.",True
"The cobra hissed a defiance to the mongoose.",True
"The mongoose had bushy fur on his tail.",True
"The cobra tried to mesmerize the mongoose with its eyes.",True
"The magpie and myna tried to dive-bomb the cobra.",True
"The cobra struck the magpie in mid-air.",True
"The myna was hit by the cobra's snout and tumbled away.",True
"The mongoose bit the cobra on the back.",True
"The cobra became tired and weakened as the fight went on.",True
"The mongoose dragged the cobra into the bushes at the end.",True
"The narrator's house was in a crowded city.",False
"The banyan tree was a world of its own.",True
"The narrator felt like a king in his banyan tree.",True
"The fight took place on a very hot afternoon.",True
"The cobra's fangs were full of deadly poison.",True
"The mongoose's eyes were like glass beads.",False
"The narrator was sitting on the ground during the fight.",False
"The cobra moved very slowly during the fight.",False
"The mongoose made a feint to one side to trick the snake.",True
"The myna sat on a cactus to watch the fight.",True
"The cobra's hood was six inches broad.",True
"The mongoose was a very clean and tidy animal.",False
"The squirrel grew very bold and took food from the boy's hand.",True
"The narrator's grandmother loved the banyan tree.",False
"The story ends with the mongoose walking away victoriously.",True
"The author of the story is Ruskin Bond.",True
