Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central philosophical conflict?,Work vs rest,Freedom vs discipline,School vs labor,Child vs adult,Freedom vs discipline
Why does Tagore use common workers?,Relatability,Social realism,Symbolism,Both A and C,Both A and C
What does hawker represent symbolically?,Economic freedom,Voice of independence,Escape from rules,Both B and C,Both B and C
Why is the child’s view naive?,Ignores hardship,Idealizes freedom,Lacks experience,All,All
What does the poem critique subtly?,Rigid schooling,Child labor,Work culture,None,Rigid schooling
What worldview is presented?,Romantic idealism,Realism,Materialism,Pessimism,Romantic idealism
Why is freedom romanticized?,Child psychology,Lack of responsibility,Contrast to school,Both A and C,Both A and C
What does the gardener symbolize?,Joy in labor,Connection with nature,Freedom,Both A and B,Both A and B
Why is watchman included?,Night freedom,Responsibility contrast,Movement liberty,Both B and C,Both B and C
What poetic technique dominates?,Imagery,Symbolism,Narration,Alliteration,Symbolism
Why is poem reflective?,Inner desire shown,Comparison used,Open ending,Both A and B,Both A and B
What is the irony in poem?,Work seems free,School seems prison,Child unaware of reality,Both A and C,Both A and C
What does the child’s desire reveal?,Search for autonomy,Escape tendency,Imagination,Both A and C,Both A and C
Why is freedom emphasized?,Core human desire,Childhood instinct,Social constraint,Both A and B,Both A and B
What is Tagore’s stance?,Anti-school,Balanced humanistic,Critical of work,Neutral,Balanced humanistic
What does the poem suggest about work?,Has dignity,Needs discipline,Involves hardship,All,All
Why is child’s voice effective?,Authenticity,Innocence,Perspective,Both A and B,Both A and B
What social reality is shown?,Working class life,Urban poverty,Freedom illusion,Both A and C,Both A and C
What kind of freedom is illusionary?,Work freedom,Absolute freedom,Childhood dreams,Both A and B,Both A and B
What philosophical idea emerges?,Desire vs reality,Freedom vs responsibility,Imagination vs truth,All,All
Why is poem not didactic?,No advice given,Shows perspective,Open ending,Both A and B,Both A and B
What does poem reveal about growth?,Dreams mature,Reality dawns,Freedom redefined,All,All
Why does poet avoid moralizing?,Respects child voice,Encourages reflection,Shows empathy,Both A and B,Both A and B
What does school symbolize?,Order,Constraint,Preparation,Both B and C,Both B and C
What is the poem’s emotional register?,Longing,Joy,Curiosity,Both A and C,Both A and C
Why is vocation plural?,Multiple desires,Exploration,Imagination,Both A and B,Both A and B
What is the poem’s irony?,Free workers bound,Student bound to school,Illusion of freedom,Both A and C,Both A and C
Why is poem universal?,Child psychology,Work freedom desire,Education conflict,All,All
What does Tagore affirm?,Human dignity,Value of freedom,Balance of freedom and duty,Both B and C,Both B and C
What ethical tension is present?,Duty vs desire,Work vs play,Freedom vs law,All,All
Why is poem timeless?,Education exists,Childhood dreams universal,Work-life contrast,All,All
What does poem encourage readers?,Reflect on freedom,Understand childhood,Avoid rigid systems,Both A and B,Both A and B
What kind of freedom is mature?,Responsible freedom,Absolute freedom,Work freedom,None,Responsible freedom
What is child unaware of?,Future responsibility,Social reality,Effort behind jobs,All,All
What does poet trust?,Human growth,Experience learning,Imagination,Both A and B,Both A and B
What is the poem’s core message?,Freedom is attractive,Work looks easy,Balance freedom and duty,School is bad,Balance freedom and duty
What philosophical lens is used?,Romantic humanism,Realism,Idealism,Pessimism,Romantic humanism
Why is poem introspective?,Inner desire,Comparison of lives,Personal reflection,Both A and B,Both A and B
What does poem avoid?,Judgment,Instruction,Conclusion,All,All
What is the lasting takeaway?,Childhood dreams matter,Freedom must mature,Duty accompanies freedom,Both B and C,Both B and C
