Question,Option A,Option B,Option C,Option D,Correct Answer
What idea does the poet emphasize?,Beauty is rare,Beauty is everywhere,Beauty is costly,Beauty is artificial,Beauty is everywhere
Why is beauty shown in day and night?,To show contrast,To show continuity,To show routine,To show change,To show continuity
What role does nature play?,Decoration,Source of beauty,Background,Obstacle,Source of beauty
Why are birds mentioned?,For sound,For movement,For beauty in sound,Both A and C,Both A and C
What does sunlight represent?,Heat,Life,Brightness and beauty,Danger,Brightness and beauty
Why does poet mention moon and stars?,Night beauty,Darkness,Fear,Cold,Night beauty
What does wind symbolize?,Power,Movement,Gentleness and calm,Destruction,Gentleness and calm
Why are leaves dancing?,Wind blows,To show joy,To show beauty,Both A and C,Both A and C
What type of beauty is focused?,Artificial,Natural,Human-made,Costly,Natural
Why is the poem peaceful?,No conflict,Nature imagery,Simple language,Both B and C,Both B and C
What does poet want readers to do?,Ignore problems,Notice beauty,Chase beauty,Buy beauty,Notice beauty
What emotion does beauty bring?,Anger,Peace,Jealousy,Greed,Peace
Why are sounds important?,Add noise,Create fear,Enhance beauty,Disturb calm,Enhance beauty
What does birds’ singing indicate?,Morning routine,Joy of nature,Warning,Danger,Joy of nature
Why is beauty linked with calm?,It relaxes mind,It excites senses,It creates fear,It causes sleep,It relaxes mind
What is poet’s tone?,Critical,Joyful,Peaceful,Angry,Peaceful
Why is beauty free?,No effort needed,Available to all,No cost involved,Both B and C,Both B and C
What does sunset signify?,End of day,Darkness,Visual beauty,Fear,Visual beauty
What kind of imagery is used?,Violent,Urban,Natural,Sad,Natural
Why does poet use simple scenes?,Easy understanding,Universal appeal,Relatability,All,All
What does poem suggest about happiness?,Depends on wealth,Found in beauty,Rare,Temporary,Found in beauty
Why is beauty everlasting?,Nature renews,Always present,Changes form,Both B and C,Both B and C
What does poem avoid?,Conflict,Moral lecture,Complexity,Both A and C,Both A and C
What does poet celebrate?,Human success,Nature’s gifts,Power,Wealth,Nature’s gifts
Why are mornings and evenings included?,Daily cycle,Beauty continuity,Contrast,Both A and B,Both A and B
What does night beauty include?,Darkness only,Stars and moon,Fear,Silence,Stars and moon
What is beauty associated with?,Noise,Peace,Conflict,Speed,Peace
What does wind add to beauty?,Sound,Movement,Life,Both B and C,Both B and C
What does poet imply about appreciation?,Needs attention,Needs money,Needs travel,Needs education,Needs attention
Why is poem relatable?,Daily experiences,Nature scenes,Simple emotions,All,All
What kind of beauty is constant?,Artificial,Natural,Human,None,Natural
What does poet reject?,Artificial beauty,Wealth obsession,Nature neglect,Both B and C,Both B and C
Why is beauty calming?,Engages senses,Creates harmony,Reduces stress,All,All
What lesson is implicit?,Observe nature,Seek peace,Avoid noise,All,All
What kind of happiness is shown?,Material,Lasting,Temporary,Artificial,Lasting
What does poet admire most?,Nature’s order,Sunlight,Stars,Birds,Nature’s order
What does poem suggest about life?,Busy,Stressful,Beautiful,Meaningless,Beautiful
Why are simple images effective?,Easy recall,Universal,Both A and B,None,Both A and B
What does poet want to awaken?,Greed,Aesthetic sense,Curiosity,Fear,Aesthetic sense
What does beauty do to soul?,Disturbs,Calms,Angers,Confuses,Calms
What social message is there?,Slow down,Value nature,Ignore wealth,Both A and B,Both A and B
What makes beauty accessible?,Money,Observation,Education,Travel,Observation
What does poem emphasize more?,Sight,Sound,Both equally,None,Both equally
What type of pleasure is described?,Sensory,Material,Competitive,None,Sensory
What does poet promote?,Peaceful living,Conflict,Speed,Ambition,Peaceful living
What connects all images?,Nature,Happiness,Peace,Both A and C,Both A and C
What is poem’s core message?,Beauty everywhere,Seek luxury,Avoid city,Live alone,Beauty everywhere
