Question,Option A,Option B,Option C,Option D,Correct Answer
Why does the child worry at night?,Silence,Darkness,Imagination,Parents asleep,Imagination
What does repeated "Whatif" show?,Confidence,Certainty,Anxiety,Joy,Anxiety
Why are fears imaginary?,No real cause,Child is brave,Parents nearby,Daytime safe,No real cause
What kind of questions fill the poem?,Hopeful,Confident,Anxious,Joyful,Anxious
What does night symbolize?,Rest,Fear and doubt,Joy,Fun,Fear and doubt
Why does the child imagine failure?,Fear of exams,Pressure,Overthinking,All of these,All of these
What happens to worries by morning?,Increase,Stay same,Disappear,Become real,Disappear
Why does imagination create fear?,Unknown outcomes,Loneliness,Darkness,Both A and C,Both A and C
What does the poem say about worrying?,Helps planning,Solves problems,Wastes peace,Prevents danger,Wastes peace
Why are worries exaggerated?,Lack of control,Childhood fear,Imagination,Both B and C,Both B and C
What does daylight represent?,Reality,Hope,Truth,Both A and C,Both A and C
Why is poem relatable?,Common childhood fear,Night worries,School pressure,All,All
What lesson is implied?,Face fear,Ignore fear,Stop worrying,Think more,Stop worrying
Why are fears short-lived?,Based on imagination,No real danger,Daylight ends them,All,All
What emotional shift occurs?,Joy to fear,Fear to relief,Anger to joy,Fear to anger,Fear to relief
Why is poem reflective?,Inner thoughts shown,Self-questioning,Personal experience,All,All
What does poem reveal about imagination?,Can mislead,Can frighten,Can exaggerate,All,All
Why are school fears included?,Common worry,Relatable,Pressure,Both A and B,Both A and B
What does poem encourage children to do?,Worry less,Ignore school,Study more,Ask questions,Worry less
Why is ending reassuring?,No fears came true,Day arrived,Reality checked,All,All
What does poem show about fear?,Temporary,Imaginary,Harmful,Both A and B,Both A and B
What time intensifies fear?,Morning,Day,Night,Afternoon,Night
Why does the child overthink?,Lack of experience,Imagination dominance,Silence,Both A and B,Both A and B
What does the poet suggest indirectly?,Stay calm,Trust reality,Control thoughts,All,All
What type of imagination is shown?,Creative,Fear-driven,Positive,Neutral,Fear-driven
What does the poem teach about thoughts?,Control them,Ignore them,They matter,They scare,Control them
Why is poem simple?,Child speaker,Clear fear depiction,Relatable,Both A and C,Both A and C
What does poem discourage?,Questioning,Worrying,Thinking,Imagining,Worrying
Why is repetition effective?,Builds rhythm,Shows anxiety,Emphasizes fear,Both B and C,Both B and C
What does the child fear losing?,Confidence,Health,Marks,Both B and C,Both B and C
Why is imagination powerful?,Creates fear,Feels real,Shapes emotion,Both B and C,Both B and C
What does poem say about reality?,Calm,Harmless,Opposite of fear,Both B and C,Both B and C
Why is fear stronger at night?,No distractions,Darkness,Silence,All,All
What does poem suggest about mind?,Creates problems,Creates solutions,Both,None,Creates problems
Why does fear vanish?,Reality intervenes,Daylight comes,Thoughts end,Both A and B,Both A and B
What is the poet’s tone?,Serious,Gentle humorous,Scolding,Fearful,Gentle humorous
Why does poem appeal to children?,Common fears,Simple language,Child perspective,All,All
What does poem imply about worrying?,Unproductive,Natural,Common,Both A and B,Both A and B
What does poem help children realize?,Fear isn’t real,Worry unnecessary,Imagination tricks,Both B and C,Both B and C
What is the central idea?,Fear of night,Imagination causes worry,Worry is useless,Imagination causes worry
What emotional intelligence is shown?,Self-awareness,Realization,Coping skill,Both A and B,Both A and B
What does poem show about growth?,Fear fades,Understanding develops,Reality wins,Both B and C,Both B and C
What makes poem effective?,Repetition,Simple structure,Relatable theme,All,All
What does poet want readers to remember?,Fear passes,Worry useless,Day brings clarity,Both B and C,Both B and C
