Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the main character of the story?,Patrick,Tom,John,Harry,Patrick
What did Patrick hate most?,Homework,School,Teachers,Books,Homework
What was Patrick playing with?,Football,Video game,Cricket bat,Toy car,Video game
Who tried to grab the elf?,Dog,Cat,Patrick,Bird,Cat
What did Patrick save the elf from?,Dog,Fire,Cat,Water,Cat
How tall was the elf?,As tall as Patrick,Very tall,Tiny like a doll,Normal height,Tiny like a doll
What did the elf promise Patrick?,Money,Fame,To do homework,To play games,To do homework
How many wishes did Patrick get?,One,Two,Three,Four,Three
What was Patrick’s first wish?,To become rich,To pass exams,Homework done,To get toys,Homework done
Which subjects did Patrick have homework in?,Maths and English,Science only,Maths English and History,History only,Maths English and History
Was the elf good at schoolwork?,Yes,No,Sometimes,Only maths,No
Who actually helped the elf?,Patrick,Teachers,Parents,Friends,Patrick
When did Patrick study?,Only daytime,Only morning,Night time,Never,Night time
What did Patrick stop doing?,Studying,Helping,Playing games,Eating,Playing games
What happened to Patrick’s grades?,Got worse,Stayed same,Improved greatly,Failed,Improved greatly
How did teachers react?,Angry,Sad,Surprised,Unhappy,Surprised
How did Patrick’s parents feel?,Angry,Worried,Happy,Indifferent,Happy
Did the elf like doing homework?,Yes,No,Sometimes,Always,No
What did the elf do most of the time?,Studied,Complained,Played,Slept,Complained
When did the elf disappear?,Before exams,During exams,After exams,Never,After exams
Why did the elf disappear?,He was tired,Magic ended,Patrick passed exams,School closed,Magic ended
Who actually did Patrick’s homework?,Elf,Teacher,Patrick himself,Parents,Patrick himself
What lesson does the story teach?,Magic helps success,Hard work matters,Homework is boring,Teachers are strict,Hard work matters
What kind of story is this?,Fairy tale,Science fiction,Adventure,Biography,Fairy tale
What made Patrick responsible?,Punishment,Elf’s help,Hard work,Parents,Hard work
Did Patrick enjoy studying at the end?,Yes,No,Not sure,Never,Yes
What did Patrick use to study?,Toys,Books,Games,Phone,Books
How long did Patrick work daily?,Few minutes,One hour,Very late nights,Never,Very late nights
What did the elf need help with?,Magic,Schoolwork,Running,Flying,Schoolwork
Who improved the elf’s knowledge?,Patrick,Teacher,Books,Friends,Patrick
What happened to Patrick’s handwriting?,Got worse,Stayed same,Improved,Disappeared,Improved
Patrick learned the value of?,Games,Magic,Hard work,Luck,Hard work
Who was the real hero of the story?,Elf,Patrick,Teacher,Parents,Patrick
What did Patrick sacrifice?,Food,Sleep,School,Friends,Sleep
What changed Patrick’s habit?,Fear,Elf’s orders,Study routine,Parents,Study routine
Did magic really help Patrick?,Yes,No,Partly,Unsure,No
What kind of boy was Patrick in the beginning?,Hardworking,Lazy,Brilliant,Kind,Lazy
What kind of boy did Patrick become?,Lazy,Irresponsible,Hardworking,Playful,Hardworking
Why was Patrick happy?,No homework,Good grades,Games,Elf stayed,Good grades
Who learned the most in the story?,Elf,Patrick,Teacher,Cat,Patrick
The elf was weak in?,Magic,Homework,Flying,Running,Homework
What helped Patrick succeed?,Luck,Cheating,Hard work,Magic,Hard work
What is the moral of the story?,Avoid homework,Magic is real,Work hard,Be lazy,Work hard
Patrick’s success was due to?,Elf,Magic,Self effort,Teachers,Self effort
The story shows magic is?,More powerful,Useless,Secondary,Everything,Secondary
Patrick finally became a?,Lazy boy,Good student,Magician,Teacher,Good student
What disappeared at the end?,Patrick’s homework,Elf,Books,School,Elf
