Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the main character of the story?,Jumman Shaikh,Algu Chaudhary,Samjhu Sahu,The aunt,Jumman Shaikh
Who was Jumman’s close friend?,Algu Chaudhary,Samjhu Sahu,Villager,Judge,Algu Chaudhary
Who lived with Jumman?,His mother,His aunt,His sister,His wife,His aunt
Why did the aunt give her property to Jumman?,For money,For care,For fear,For love,For care
What promise did Jumman make?,To give money,To care for aunt,To sell property,To move away,To care for aunt
What happened after the property transfer?,Aunt was cared for,Aunt was ignored,Aunt became rich,Aunt left village,Aunt was ignored
Who did the aunt go to for justice?,Police,Algu Chaudhary,Panchayat,Emperor,Panchayat
Who was chosen as the Panch?,Algu Chaudhary,Jumman Shaikh,Samjhu Sahu,Villagers,Algu Chaudhary
What did Algu decide?,In favor of Jumman,Against aunt,In favor of aunt,No decision,In favor of aunt
Why did Jumman get angry?,Lost property,Lost case,Lost friend,Lost money,Lost case
What happened to their friendship?,Improved,Broke,Stayed same,Strengthened,Broke
What did Algu sell to Samjhu Sahu?,Cow,Bullock,Land,House,Bullock
Did Samjhu Sahu pay Algu?,Yes,No,Partly,Late,No
Who was chosen as Panch in second case?,Algu Chaudhary,Jumman Shaikh,Samjhu Sahu,Villagers,Jumman Shaikh
What did Jumman decide?,In favor of Samjhu,In favor of Algu,Against both,No decision,In favor of Algu
Why did Jumman decide fairly?,Fear,Revenge,Voice of conscience,Pressure,Voice of conscience
What happened to their friendship at the end?,Ended forever,Improved,Restored,Ignored,Restored
What is the theme of the story?,Friendship only,Justice and fairness,Revenge,Power,Justice and fairness
What did the aunt demand?,House,Food,Monthly allowance,New land,Monthly allowance
Who bought the bullock?,Villager,Jumman,Samjhu Sahu,Algu,Samjhu Sahu
What quality is shown by Algu?,Greed,Honesty,Cunning,Anger,Honesty
What quality is shown by Jumman at end?,Selfishness,Fairness,Anger,Greed,Fairness
What is Panchayat?,Village court,Police station,King’s court,School,Village court
Why is Algu respected?,He is rich,He is powerful,He is fair,He is feared,He is fair
What does the story teach?,Revenge is good,Friendship is everything,Fairness above friendship,Money matters,Fairness above friendship
What did the aunt suffer from?,Hunger,Illness,Neglect,Poverty,Neglect
Who supported the aunt?,Algu Chaudhary,Jumman,Villagers,Samjhu,Algu Chaudhary
What did villagers believe?,Jumman is right,Aunt is wrong,Justice must be fair,Money matters,Justice must be fair
Why did Samjhu Sahu not pay?,Bullock died,He was poor,He was dishonest,He forgot,Bullock died
What did Jumman realize?,Power matters,Justice matters,Friendship matters,Money matters,Justice matters
What does the title suggest?,Game,Justice,Fairness,Power,Fairness
What kind of ending does story have?,Sad,Tragic,Happy,Confusing,Happy
Who is the real hero?,Jumman,Algu,Aunt,Samjhu,Algu
What restored friendship?,Apology,Fair judgment,Money,Time,Fair judgment
What guided Jumman’s decision?,Anger,Fear,Conscience,Friendship,Conscience
What value is highlighted?,Greed,Honesty,Fair play,Power,Fair play
What did aunt lose initially?,Hope,Property,Money,Friends,Property
Why was Algu hurt?,Lost friend,Lost case,Lost money,Lost respect,Lost friend
What changed Jumman?,Punishment,Experience,Conscience,Advice,Conscience
What role does Panch play?,Judge,Witness,Police,King,Judge
What does story criticize?,Greed,Injustice,Partiality,All of these,All of these
What is most important in Panchayat?,Power,Fairness,Friendship,Money,Fairness
What is the lesson for children?,Win fights,Be loyal,Be fair,Be rich,Be fair
What happened when justice was done?,Peace returned,Fight started,Village divided,Nothing,Peace returned
What does fair play mean?,Winning,Fighting,Justice,Happiness,Justice
What quality made Algu respected?,Strength,Honesty,Wealth,Anger,Honesty
What was Jumman’s mistake?,Trusting friend,Ignoring aunt,Being poor,Going to Panchayat,Ignoring aunt
What corrected Jumman?,Loss of case,Friendship loss,Voice of conscience,Punishment,Voice of conscience
