Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the main character of the story?,Taro,Patrick,Jumman,Rasheed,Taro
What was Taro by profession?,Farmer,Woodcutter,Shopkeeper,Soldier,Woodcutter
Where did Taro live?,India,China,Japan,Thailand,Japan
Why did Taro work very hard?,To become rich,To help parents,To buy land,To travel,To help parents
What did Taro’s father wish to drink?,Milk,Water,Sake,Juice,Sake
What is sake?,Fruit juice,Milk drink,Japanese wine,Tea,Japanese wine
Why could Taro not buy sake?,He was lazy,He was sick,He was poor,Shop was closed,He was poor
Where did Taro go to cut wood?,Forest,Mountain,City,River,Mountain
What strange thing did Taro hear?,Music,Lion’s roar,Waterfall sound,Thunder,Waterfall sound
What did the waterfall taste like?,Water,Milk,Sake,Honey,Sake
Why was Taro happy?,He found gold,He found sake,He rested,He met emperor,He found sake
Who drank the sake?,Taro,Taro’s father,Emperor,Villagers,Taro’s father
Why did villagers visit the waterfall?,To pray,To drink water,To get sake,To bathe,To get sake
What did the greedy villagers shout?,Angry words,Magic words,Commands,Praises,Commands
What happened to the waterfall for villagers?,Turned to gold,Stayed water,Disappeared,Froze,Stayed water
Why did the villagers fail?,They were poor,They were greedy,They were weak,They were tired,They were greedy
Who rewarded Taro?,Village headman,King,Emperor,Teacher,Emperor
Why did the Emperor reward Taro?,For wealth,For honesty,For kindness to parents,For bravery,For kindness to parents
What did the Emperor give Taro?,Money only,Gold and silk,House,Land,Gold and silk
What was built in Taro’s honour?,School,Statue,Fountain,Temple,Statue
What did the Emperor declare?,Taro rich,Taro brave,Taro model son,Taro king,Taro model son
What quality of Taro is highlighted?,Greed,Laziness,Obedience,Filial love,Filial love
What lesson does the story teach?,Be greedy,Help parents,Get rich,Be strong,Help parents
Why did the waterfall change for Taro?,Magic words,Kind heart,Good luck,Hard work,Kind heart
How did Taro treat his parents?,Badly,Kindly,Angrily,Ignored,Kindly
What kind of son was Taro?,Lazy,Obedient,Cruel,Selfish,Obedient
What did greed bring villagers?,Happiness,Reward,Punishment,Nothing,Nothing
What did Taro value most?,Money,Parents,Fame,Food,Parents
Why did Taro work extra hard?,For himself,For father’s sake,For fun,For emperor,For father’s sake
What happened when villagers copied Taro?,They succeeded,They failed,They got rich,They fainted,They failed
The story is an example of?,Fairy tale,Fable,Adventure,Myth,Fable
What does the waterfall symbolize?,Power,Reward for goodness,Wealth,Magic,Reward for goodness
What is the central theme?,Greed vs kindness,Power,Friendship,War,Greed vs kindness
Why was Taro rewarded?,Luck,Magic,Good behavior,Greed,Good behavior
What did Taro show through actions?,Selfishness,Love and respect,Anger,Pride,Love and respect
What quality did villagers lack?,Strength,Kindness,Wealth,Bravery,Kindness
What happened to Taro after reward?,Stayed poor,Became famous,Became unhappy,Became lazy,Became famous
How did Emperor know about Taro?,Villagers told him,He visited village,He tasted sake,News spread,News spread
What did Taro carry home?,Water,Sake,Gold,Wood,Sake
Why did villagers get angry?,They were poor,They failed,They were punished,They were scared,They failed
What does the story praise?,Greed,Hard work,Kindness,Fear,Kindness
What kind of ending does the story have?,Sad,Tragic,Happy,Confusing,Happy
What message is given to children?,Respect parents,Be greedy,Seek magic,Ignore elders,Respect parents
What happened to waterfall later?,Turned to milk,Stayed water,Became river,Dried up,Stayed water
Why is Taro a role model?,He was rich,He was lucky,He loved parents,He was strong,He loved parents
What did Emperor want people to learn?,Obedience,Kindness to parents,Hard work,Magic,Kindness to parents
What does the story say about greed?,It helps,It rewards,It fails,It is good,It fails
