Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central ethical dilemma?,Friendship vs justice,Wealth vs poverty,Power vs fear,Law vs emotion,Friendship vs justice
Why is Panchayat effective?,Fear of law,Moral authority,Police force,Power,Moral authority
What does Jumman’s transformation show?,Fear,Revenge,Moral awakening,Power,Moral awakening
Why is conscience central?,External pressure,Internal morality,Law enforcement,Fear,Internal morality
What does Algu symbolize?,Power,Moral courage,Wealth,Anger,Moral courage
What is criticized through Samjhu?,Poverty,Greed,Weakness,Ignorance,Greed
Why is justice impartial?,Personal interest absent,Fear of village,Law exists,Power present,Personal interest absent
What literary form is used?,Fairy tale,Fable,Legend,Myth,Fable
Why is story socially relevant?,Shows politics,Teaches ethics,Shows poverty,Shows power,Teaches ethics
What is the author’s message?,Friendship first,Justice first,Power first,Money first,Justice first
Why is Panch’s voice powerful?,Law backed,Conscience driven,Fear induced,Force used,Conscience driven
What human flaw leads to injustice?,Anger,Greed,Partiality,All of these,All of these
What does aunt represent?,Weak elders,Powerless people,Justice seekers,Both A and B,Both A and B
Why is justice delayed?,Bias,Fear,Poverty,Ignorance,Bias
What restores social balance?,Money,Revenge,Fairness,Power,Fairness
What philosophical idea is present?,Might is right,Moral absolutism,Relativism,Utilitarianism,Moral absolutism
Why is Panchayat democratic?,People choose Panch,King appoints,Police decide,Court decides,People choose Panch
What is the story’s irony?,Friendship broken by justice,Justice restores friendship,Power fails,Greed punished,Justice restores friendship
Why is fairness superior?,Builds trust,Creates fear,Ensures power,Avoids conflict,Builds trust
What does Jumman’s final act imply?,Fear of village,Moral redemption,Power loss,Friendship gain,Moral redemption
What role does experience play?,Minor,Transformative,Punitive,Negative,Transformative
Why is justice moral?,Based on values,Based on fear,Based on law,Based on power,Based on values
What does story reject?,Power,Friendship,Partial justice,Law,Partial justice
Why is fairness timeless?,Culture bound,Universal value,Legal system,Power based,Universal value
What lesson is indirect?,Respect elders,Avoid greed,Avoid bias,All of these,All of these
What is the tone of story?,Comic,Didactic,Philosophical,Angry,Philosophical
Why is Panch respected?,Force,Wealth,Moral authority,Fear,Moral authority
What does conscience ensure?,Fear,Self-control,Justice,Power,Justice
What does fair play require?,Courage,Honesty,Both A and B,None,Both A and B
Why is justice difficult?,Personal ties,Power imbalance,Greed,Both A and B,Both A and B
What social order is idealized?,Power-based,Moral-based,Wealth-based,Fear-based,Moral-based
Why does friendship heal?,Forgiveness,Fairness,Time,Compromise,Fairness
What human virtue triumphs?,Power,Greed,Honesty,Anger,Honesty
What does story affirm?,Justice wins,Power wins,Friendship wins,Money wins,Justice wins
What is the ultimate reward?,Money,Power,Peace,Revenge,Peace
What does Panchayat embody?,Law,Custom,Ethics,Tradition,Ethics
Why is justice superior?,Ends conflict,Ensures fairness,Builds society,Both B and C,Both B and C
What does moral courage mean?,Using power,Doing right despite loss,Following orders,Fearlessness,Doing right despite loss
What does story teach leaders?,Be powerful,Be fair,Be feared,Be rich,Be fair
Why is conscience universal?,Learned later,Inborn moral sense,Forced by law,Taught by elders,Inborn moral sense
What is the lasting message?,Justice above all,Friendship above all,Power above all,Money above all,Justice above all
