Question,Option A,Option B,Option C,Option D,Correct Answer
Why does the child admire the hawker?,He earns money,He shouts loudly,He works freely,He is rich,He works freely
What attracts the child to the gardener?,Money,Singing,Freedom from rules,Hard work,Freedom from rules
Why does the child like the watchman?,He sleeps,He is powerful,He walks freely at night,He is rich,He walks freely at night
What common quality do all three jobs have?,Wealth,Freedom,Power,Fame,Freedom
Why does the child dislike school?,Strict teachers,Too much homework,Lack of freedom,Boring books,Lack of freedom
What does the hawker symbolize?,Hard work,Freedom of speech,Independence,Noise,Independence
Why does the gardener seem happy?,He earns well,He works in open air,He sings,He has freedom,Both B and D,Both B and D
What does the watchman’s lantern represent?,Fear,Light,Freedom and movement,Power,Freedom and movement
Why does the child imagine different vocations?,Curiosity,Escape from school,Respect for workers,Both A and B,Both A and B
What does the poem reveal about childhood?,Practical thinking,Imagination and dreams,Anger,Responsibility,Imagination and dreams
What is the child’s attitude towards work?,Fearful,Respectful,Romantic,Indifferent,Romantic
Why does the child idealize these jobs?,Sees only freedom,Sees money,Sees ease,Sees power,Sees only freedom
What does school represent to the child?,Joy,Discipline,Restriction,Fun,Restriction
Why is the poem reflective?,Shows thinking,Shows dreams,Shows comparison,Both A and C,Both A and C
What does the child want to escape from?,Work,Responsibility,Rules,Teachers,Rules
Why are adults’ jobs attractive?,No supervision,No rules,Visible freedom,None,Visible freedom
What is the poem’s tone?,Angry,Joyful,Thoughtful,Humorous,Thoughtful
Why does the child compare jobs?,Understand freedom,Choose career,Show dislike for school,Impress others,Understand freedom
What does the gardener’s song imply?,Hardship,Joy in work,Mockery,Anger,Joy in work
Why is the watchman active at night?,Duty,Freedom,Habit,Power,Duty
What misconception does the child have?,Jobs are easy,School useless,Freedom without effort,Both A and C,Both A and C
What does the poem subtly teach?,Value of freedom,Value of discipline,Value of labor,Both A and C,Both A and C
Why is freedom central?,Child’s desire,Work comparison,School contrast,All,All
What is the child unaware of?,Hardships of jobs,School benefits,Future goals,Both A and B,Both A and B
What does the hawker’s calling show?,Business skill,Freedom,Hardship,Noise,Freedom
Why does the poet use a child speaker?,Authenticity,Imagination,Innocence,All,All
What does the poem reflect about learning?,Happens anywhere,Only in school,Only in work,None,Happens anywhere
What kind of freedom does child seek?,Emotional,Physical,Absolute,Temporary,Physical
What does the poem criticize?,Education system,Strict schooling,Child labor,None,Strict schooling
What does the poem admire?,Work without pressure,Wealth,Power,Status,Work without pressure
Why does the poem end openly?,Child still dreaming,No conclusion,Reflect future growth,Both A and C,Both A and C
What value is central?,Money,Freedom,Education,Obedience,Freedom
What does the poem suggest about work?,Burden,Joyful if free,Always hard,Only for adults,Joyful if free
What does the child misunderstand?,Nature of work,Importance of school,Reality of labor,Both A and C,Both A and C
Why is the poem relatable?,Universal childhood dreams,Simple language,Common scenes,All,All
What does the gardener’s digging represent?,Hard work,Joyful labor,Punishment,Compulsion,Joyful labor
What does hawker’s shouting contrast with?,School silence,Classroom rules,Teacher discipline,All,All
What does watchman’s walking signify?,Power,Control,Freedom of movement,Danger,Freedom of movement
What kind of desire drives the poem?,Ambition,Escape,Freedom,Boredom,Freedom
Why does the child romanticize work?,Sees surface,Ignores hardship,Lacks experience,Both A and C,Both A and C
What stage of life is shown?,Adulthood,Teenage,Childhood,Old age,Childhood
What does poem imply about education?,Restrictive,Necessary,Balancing freedom,None,Balancing freedom
What kind of imagination is shown?,Fearful,Creative,Negative,Practical,Creative
What is the child’s dream shaped by?,Observation,Experience,Stories,None,Observation
What message is indirect?,Work equals freedom,All jobs have hardships,School prepares life,Both B and C,Both B and C
