Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Lorraine M. Halli,Ruskin Bond,Shel Silverstein,Rabindranath Tagore,Lorraine M. Halli
What is made of bricks and stone?,A home,A house,A hut,A room,A house
What makes a home?,Furniture,Walls,Family and love,Money,Family and love
What does a house contain?,Love only,Rooms and doors,Feelings only,People only,Rooms and doors
What turns a house into a home?,Paint,Roof,People and care,Money,People and care
What is a home filled with?,Furniture,Rooms,Love and warmth,Noise,Love and warmth
What keeps a house standing?,Love,Bricks and beams,People,Care,Bricks and beams
What makes a home happy?,Money,Decorations,Sharing and caring,Size,Sharing and caring
Which place gives warmth?,House,Home,Building,Room,Home
What does a house protect from?,Rain and cold,Emotions,Love,Feelings,Rain and cold
What does a home protect?,Feelings,Love and emotions,Money,Rooms,Love and emotions
What is described first in poem?,Home,Family,House,People,House
What is described next?,House,Home,Roof,Rooms,Home
What does a house have?,Windows and doors,Love and care,Feelings,Happiness,Windows and doors
What does a home have?,Walls,Beams,People who love,Machines,People who love
Which is lifeless?,Home,House,Both,None,House
Which is lively?,House,Building,Home,None,Home
What does a house lack?,Walls,Roof,Emotions,Furniture,Emotions
What does a home give?,Shelter only,Love and care,Money,Protection only,Love and care
What is the poem about?,Building,Family,Difference between house and home,Nature,Difference between house and home
What is a house compared to?,Machine,Structure,Heartless place,Family,Structure
What is a home compared to?,Shelter,Heart,Room,House,Heart
What makes people feel safe?,House,Home,Building,None,Home
Where do feelings live?,House,Home,Walls,Roof,Home
Which word is repeated more?,House,Home,Both equally,None,Both equally
What does poem teach?,Build houses,Value family,Buy property,Paint walls,Value family
What kind of poem is this?,Nature poem,Funny poem,Thoughtful poem,Adventure poem,Thoughtful poem
Who lives in a home?,Machines,People who care,Animals only,Furniture,People who care
What does house give physically?,Warmth,Shelter,Love,Peace,Shelter
What does home give emotionally?,Shelter,Money,Love,Rooms,Love
Which one is material?,Home,House,Both,None,House
Which one is emotional?,House,Home,Both,None,Home
What makes a place meaningful?,Size,Cost,People,Design,People
What is stronger than walls?,Paint,Beams,Love,Machines,Love
What is the tone of poem?,Sad,Humorous,Warm and gentle,Angry,Warm and gentle
What is more important?,House,Home,Both,None,Home
What is needed for happiness?,Money,Big house,Love and family,Furniture,Love and family
What is a house without people?,Home,Empty,Happy,Warm,Empty
What does poem value?,Wealth,Buildings,Relationships,Design,Relationships
What brings comfort?,Rooms,Roof,Love,Curtains,Love
What does poem end with?,House description,Home description,Conflict,Question,Home description
What is the main message?,Buy house,Decorate home,Love makes a home,Build big house,Love makes a home
What does home include?,Walls only,Rooms only,People and emotions,Furniture,People and emotions
What makes life pleasant?,House,Home,None,Money,Home
What does poem compare clearly?,Two houses,House and home,Two families,Two rooms,House and home
