Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the headmistress of the school?,Miss Beam,Miss Green,Miss Taylor,Miss Anne,Miss Beam
What is special about Miss Beam’s school?,No exams,No books,Different teaching methods,Only games,Different teaching methods
What does the school aim to teach?,Maths,Science,Kindness and responsibility,Discipline,Kindness and responsibility
What kind of school is it?,Boarding school,Online school,Day school,Different kind of school,Different kind of school
Who visits the school?,Narrator,A teacher,A student,A parent,Narrator
What is Blind Day?,Students close eyes,Students wear bandages,No lights,Students rest,Students wear bandages
What is Lame Day?,Students sit all day,Students hop,Students use crutches,Students stay home,Students use crutches
What is Deaf Day?,Students don’t listen,Students don’t speak,Students cover ears,Students stay silent,Students don’t speak
Why are helpers needed?,To punish students,To teach lessons,To help affected students,To guide teachers,To help affected students
What do helpers do?,Play games,Guide classmates,Write notes,Teach lessons,Guide classmates
How do students feel on Blind Day?,Happy,Excited,Uncomfortable,Angry,Uncomfortable
What lesson does Blind Day teach?,Courage,Empathy,Strength,Discipline,Empathy
What lesson does Lame Day teach?,Speed,Patience,Sympathy,Bravery,Sympathy
What lesson does Deaf Day teach?,Listening,Understanding communication,Silence,Discipline,Understanding communication
How many special days are there?,Two,Three,Four,Five,Three
Do students take these days seriously?,No,Sometimes,Yes,Never,Yes
Why are books not enough according to Miss Beam?,Too old,Too boring,Experience teaches better,Too costly,Experience teaches better
What quality is developed in students?,Anger,Kindness,Fear,Pride,Kindness
How do students behave towards helpers?,Rude,Indifferent,Grateful,Angry,Grateful
What happens to students after special days?,They forget lessons,They become careless,They become kinder,They become lazy,They become kinder
What kind of discipline exists?,Strict punishment,Self-discipline,No discipline,Forced discipline,Self-discipline
What is the narrator’s reaction?,Bored,Angry,Impressed,Confused,Impressed
What does Miss Beam believe?,Marks matter,Values matter,Games matter,Rules matter,Values matter
What is taught along with academics?,Sports,Music,Values,Punishment,Values
What helps students understand others?,Books,Experience,Rules,Teachers,Experience
Why is the school unique?,Different uniforms,Special days,No exams,Outdoor classes,Special days
What does the story highlight?,Different education,Strict rules,Competition,Exams,Different education
What happens on Dumb Day?,Students stay silent,Students don’t write,Students don’t read,Students don’t hear,Students stay silent
How are students chosen for special days?,By choice,By rotation,By punishment,By teachers,By rotation
What do students learn from helpers?,Dependence,Teamwork,Cheating,Competition,Teamwork
What is the school environment?,Fearful,Competitive,Supportive,Strict,Supportive
Why do students obey rules?,Fear,Understanding,Force,Habit,Understanding
What value is most important?,Marks,Kindness,Rank,Speed,Kindness
What kind of education is shown?,Bookish,Practical,Online,Theoretical,Practical
How do children react to difficulties?,Laugh,Cry,Learn,Ignore,Learn
What does Miss Beam want students to become?,Rich,Powerful,Responsible citizens,Doctors,Responsible citizens
What does the narrator learn?,Nothing,Teaching methods,Value of experience,School rules,Value of experience
What is Blind Day compared to?,Game,Punishment,Real-life experience,Holiday,Real-life experience
What happens when students struggle?,They quit,They get punished,They get help,They fail,They get help
What does the story teach?,Memorization,Competition,Empathy,Speed,Empathy
What kind of learning is promoted?,Rote learning,Experiential learning,Online learning,Fast learning,Experiential learning
What is Miss Beam’s attitude?,Strict,Caring,Indifferent,Angry,Caring
Why do students respect Miss Beam?,Fear,Love,Understanding,Rules,Understanding
What is the main theme?,Education system,Empathy and kindness,Competition,Discipline,Empathy and kindness
The story encourages students to?,Score marks,Help others,Compete,Win prizes,Help others
What is the result of special days?,Better marks,Better behavior,No change,Less study,Better behavior
What makes this school different?,No teachers,Special lessons,No books,No exams,Special lessons
What is the narrator’s final feeling?,Sad,Happy,Inspired,Angry,Inspired
