Question,Option A,Option B,Option C,Option D,Correct Answer
Why is banyan tree important?,Decoration,Shade only,Ecosystem support,Wood,Ecosystem support
Why did animals live together?,Fear,Food availability,Shelter,Forced,Shelter
Why was snake feared?,Venom,Size,Speed,Color,Venom
Why did mongoose challenge snake?,Protection,Instinct,Food,Fun,Instinct
What does fight show?,Violence,Nature’s law,Hatred,Revenge,Nature’s law
Why was narrator fascinated?,Fear,Curiosity,Anger,Hatred,Curiosity
What role does tree play?,Witness,Shelter,Stage,Both A and B,Both A and B
Why is mongoose faster?,Training,Instinct,Agility,Magic,Agility
What does snake rely on?,Strength,Venom,Size,Luck,Venom
What happens to balance after fight?,Destroyed,Restored,Ignored,Lost,Restored
Why do birds watch fight?,Curiosity,Fear,Entertainment,Instinct,Instinct
Why is fight natural?,Animals cruel,Survival instinct,Hatred,Revenge,Survival instinct
What does tree symbolize?,Power,Life support,Neutral observer,Danger,Life support
Why is narrator safe?,Distance,Tree height,Grandfather,All,All
What quality does narrator show?,Fearlessness,Curiosity,Courage,Anger,Curiosity
Why is mongoose victorious?,Skill,Speed,Strategy,All,All
What lesson is implied?,Respect life,Avoid nature,Control animals,Kill fear,Respect life
Why is story realistic?,Animal behavior,Magic,Fantasy,Myth,Animal behavior
What does fight highlight?,Strength vs speed,Good vs evil,Right vs wrong,Power vs fear,Strength vs speed
Why is banyan tree ideal habitat?,Large size,Many roots,Shade,All,All
Why does snake lose?,Slow reaction,Overconfidence,Lack of skill,All,All
What is narrator’s role?,Participant,Observer,Victim,Judge,Observer
Why is peace restored?,One predator gone,Survival ensured,Tree remains,Both A and B,Both A and B
What is author’s tone?,Humorous,Observational,Angry,Preaching,Observational
Why is tree respected?,Age,Size,Life support,All,All
What human emotion is evoked?,Fear,Awe,Respect,All,All
What does story avoid?,Judgment,Moral lecture,Fantasy,All,All
What does mongoose symbolize?,Courage,Skill,Agility,All,All
Why is tree central?,Location,Symbolism,Habitat,All,All
What does nature demand?,Peace,Balance,Power,Control,Balance
Why is violence brief?,Natural control,Instinct limit,Energy cost,All,All
What does narrator learn?,Nature rules,Animals cruel,Life harsh,Humans weak,Nature rules
Why is snake solitary?,Nature,Fear,Choice,Size,Nature
What literary style is used?,Essay,Autobiographical,Nature writing,Fable,Nature writing
Why is the ending calm?,Balance restored,Danger removed,Narrator safe,All,All
What ecological concept shown?,Food chain,Balance of nature,Survival of fittest,All,All
Why is banyan tree timeless?,Longevity,Stability,Life support,All,All
What does author admire?,Nature’s order,Strength,Violence,Power,Nature’s order
Why does fight not disturb tree?,Stability,Size,Age,Nature rule,Nature rule
What role does fear play?,Motivates caution,Paralyzes,Controls life,All,All
What does narrator respect most?,Power,Skill,Nature,Fear,Nature
What theme dominates?,Nature balance,Violence,Adventure,Survival,Nature balance
What happens to other animals after?,Leave tree,Return to routine,Hide forever,Attack,Return to routine
What value is reinforced?,Patience,Respect for nature,Strength,Speed,Respect for nature
