Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the narrator of the story?,A girl,A boy,A teacher,A farmer,A boy
Where did the narrator live?,City,Forest,Grandparents’ house,School,Grandparents’ house
What tree is central to the story?,Mango tree,Banyan tree,Neem tree,Peepal tree,Banyan tree
Who owned the banyan tree?,Narrator,Father,Grandfather,Villagers,Grandfather
What lived in the banyan tree?,Birds only,Monkeys only,Many animals,Nothing,Many animals
Who was the strongest inhabitant of the tree?,Bird,Snake,Mongoose,Cat,Snake
Who challenged the snake?,Dog,Mongoose,Cat,Bird,Mongoose
Where did the fight happen?,Forest floor,Inside house,On tree,Near river,On tree
Who watched the fight?,Villagers,Narrator only,Animals,Narrator and animals,Narrator and animals
What was the snake?,Cobra,Python,Viper,Rat snake,Cobra
Who won the fight?,Snake,Mongoose,Draw,No one,Mongoose
What happened to the snake?,Escaped,Died,Flew away,Hid,Died
Why did the mongoose win?,Luck,Speed and skill,Size,Help,Speed and skill
What did the narrator learn from the tree?,Fear,Courage,Patience,Nature lessons,Nature lessons
What was the banyan tree like?,Small,Young,Huge,Weak,Huge
What did the tree provide?,Shade only,Fruit only,Home and shade,Nothing,Home and shade
Who respected the tree?,Narrator,Grandfather,Villagers,All of these,All of these
What did the narrator do often?,Play games,Climb tree,Read books,Sleep,Read books
What kind of story is this?,Fantasy,Adventure,Nature story,Fairy tale,Nature story
What lesson does the story give?,Fight bravely,Respect nature,Be strong,Win fights,Respect nature
What lived in the tree branches?,Fish,Birds,Lions,Snakes,Birds
What lived in the roots?,Fish,Frogs,Insects,Snakes,Snakes
Who remained calm during fight?,Snake,Mongoose,Narrator,All,All
What did the tree symbolize?,Fear,Shelter,Danger,Power,Shelter
Who was fearless?,Narrator,Mongoose,Snake,All,Mongoose
What time did the fight occur?,Morning,Afternoon,Evening,Night,Evening
What did birds do during fight?,Flew away,Watched,Slept,Sang,Watched
What does banyan tree support?,Life,Only plants,Only birds,Nothing,Life
Who is the author?,Ruskin Bond,Rabindranath Tagore,Premchand,RK Narayan,Ruskin Bond
What emotion did narrator feel?,Fear,Excitement,Curiosity,All,All
What did the narrator do after fight?,Ran away,Told grandfather,Ignored,Climbed tree,Told grandfather
What kind of ending is there?,Sad,Tragic,Peaceful,Scary,Peaceful
What does the tree represent?,Danger,Nature’s balance,War,Power,Nature’s balance
What was the narrator’s age?,Adult,Old,Young boy,Teenager,Young boy
What animals lived peacefully?,Snake and bird,Mongoose and bird,All before fight,None,All before fight
What disturbed peace?,Rain,Wind,Fight,Humans,Fight
What quality of mongoose is shown?,Fear,Laziness,Bravery,Anger,Bravery
What quality of snake is shown?,Cunning,Weakness,Bravery,Laziness,Bravery
What did the fight prove?,Size matters,Skill matters,Strength matters,Luck matters,Skill matters
What did the tree witness?,War,Fight,Peace,All life,All life
What feeling does story create?,Horror,Awe,Humor,Boredom,Awe
What does the story mainly describe?,Village life,Nature and animals,School life,Adventure,Nature and animals
What does the narrator admire?,Animals,Tree,Grandfather,All,All
What remained after fight?,Fear,Silence,Noise,Chaos,Silence
What is banyan tree known for?,Flowers,Height,Long roots,Small leaves,Long roots
What did narrator value most?,Games,Nature,Friends,Books,Nature
