Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central philosophical idea?,Shelter is enough,Material comfort suffices,Emotional bonds define living,Wealth defines happiness,Emotional bonds define living
Why is house described impersonally?,Lack of owner,Material focus,Cold climate,Weak design,Material focus
What does home represent metaphorically?,Building,Heart and soul,Wealth center,Security system,Heart and soul
Why does poet use contrast as technique?,Simplify language,Highlight difference,Create humor,Increase length,Highlight difference
What human value dominates poem?,Power,Love,Ambition,Fear,Love
What critique does poem offer?,Urban life,Materialism,Tradition,Modern design,Materialism
Why is structure insufficient?,Emotion absent,Weak material,Old age,Poor design,Emotion absent
What makes a place existentially meaningful?,Ownership,Use,Emotional connection,Time,Emotional connection
What worldview is presented?,Materialistic,Humanistic,Capitalist,Utilitarian,Humanistic
Why is warmth symbolic?,Heat source,Comfort,Affection and care,Light,Affection and care
What is poet’s implicit advice?,Buy property,Decorate homes,Value relationships,Live alone,Value relationships
Why is poem timeless?,Architecture relevance,Universal emotions,Cultural setting,Modern housing,Universal emotions
What is rejected as false security?,Locks,Guards,Walls,Money,Walls
What defines permanence?,Concrete,Steel,Love and bonds,Ownership,Love and bonds
Why is poem reflective?,No story,Everyday truth,Complex language,Abstract theme,Everyday truth
What does house without people symbolize?,Loneliness,Failure,Neutrality,Silence,Loneliness
What is emotional architecture?,Interior design,Building plan,Human relationships,None,Human relationships
What does poem elevate?,Structure,Emotion,Material success,Wealth,Emotion
Why is poem didactic?,Explicit rules,Implicit moral,Commands readers,Harsh tone,Implicit moral
What is the poem’s ethical stance?,Neutral,Moralistic,Critical,Detached,Moralistic
Why are material elements listed?,Decoration,Contrast setup,Importance,Description,Contrast setup
What cognitive shift is expected?,Buy less,Think deeply,Value people,Change homes,Value people
What is the poem’s universality?,Culture-based,Age-based,Human experience,Location-based,Human experience
What does poet avoid?,Preaching,Narrative,Emotion,Contrast,Preaching
Why is love central?,Creates belonging,Costs nothing,Always present,Both A and B,Both A and B
What social comment is implied?,Housing crisis,Family decline,Material obsession,Urban crowding,Material obsession
What kind of happiness is endorsed?,Temporary,Purchased,Emotional,Sensory,Emotional
Why is home living?,It breathes,It feels,People animate it,Magic,People animate it
What is poem’s core metaphor?,House=home,Home=heart,Home=house,House=heart,Home=heart
What does poet celebrate?,Architecture,Domestic life,Human connection,Wealth,Human connection
Why is poem minimalist?,Short lines,Simple theme,Clear contrast,Easy words,Clear contrast
What is poem’s relevance today?,Real estate boom,Urban housing,Emotional emptiness,Family size,Emotional emptiness
What is the poet’s lens?,Economic,Psychological,Humanistic,Political,Humanistic
Why is structure secondary?,Needs emotion,Costs money,Temporary shelter,Easy to build,Needs emotion
What lesson applies universally?,Build homes,Value love,Avoid houses,Live alone,Value love
What does poem oppose?,Progress,Modernity,Material-only living,Family life,Material-only living
Why is home irreplaceable?,Unique design,Personal bond,Costly,Both A and B,Personal bond
What does poem imply about shelter?,Necessary not sufficient,Sufficient alone,Unimportant,Optional,Necessary not sufficient
What emotional need is highlighted?,Security,Belonging,Power,Freedom,Belonging
Why is home identity-forming?,Gives name,Gives address,Shapes self,Gives status,Shapes self
What kind of fulfillment is real?,Financial,Social,Emotional,Physical,Emotional
What does poem conclude?,House matters,Home matters both,Home above house,House equal home,Home above house
