Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Harry Behn,Ruskin Bond,Shel Silverstein,Rabindranath Tagore,Harry Behn
What is the poem about?,Birds,Planes,Kite,Festival,Kite
When does the kite fly best?,At night,In rain,In strong wind,Without wind,In strong wind
What makes the kite rise?,String,Wind,Paper,Sun,Wind
What sound does the kite make?,Whistle,Rustle,Roar,Silence,Rustle
What happens when wind drops?,Kite flies higher,Kite falls,Kite breaks,Kite stops moving,Kite falls
What is the kite compared to?,Bird,Snake,Ship,Plane,Bird
What holds the kite?,Stick,Thread,String,Wire,String
What happens when string breaks?,Kite rises,Kite floats,Kite falls,Kite stops,Kite falls
What does the kite do in the sky?,Sleeps,Dances,Flies,Fights,Dances
What color is the kite?,Red,Blue,Bright colors,White,Bright colors
Who flies the kite?,Adults,Children,Birds,None,Children
What kind of day is best for flying kite?,Rainy,Calm,Windy,Cloudy,Windy
What happens to the kite in calm air?,Flies high,Falls down,Dances,Stops,Falls down
What does the kite tug at?,Wind,String,Hand,Tree,String
What happens in strong wind?,Kite rises,Kite struggles,Kite tears,Kite sleeps,Kite struggles
What makes the kite tail move?,Wind,Paper,String,Stick,Wind
What does the kite look like in sky?,Star,Bird,Fish,Balloon,Bird
What keeps kite under control?,Wind,Hand,String,Stick,String
What happens when wind is too strong?,Kite flies away,Kite breaks,Kite wins,Kite sleeps,Kite breaks
What emotion is shown in poem?,Sadness,Joy,Fear,Anger,Joy
What does the kite do when wind is steady?,Falls,Dances,Tears,Sleeps,Dances
What happens when string loosens?,Kite rises,Kite falls,Kite sleeps,Kite dances,Kite falls
Who enjoys flying kite?,Birds,Children,Wind,Adults,Children
What kind of movement does kite show?,Still,Jerky,Smooth,Dull,Jerky
What happens when wind snaps the kite?,It flies free,It breaks,It sleeps,It shines,It breaks
What does the poem describe?,Nature and kite,School life,Family,Adventure,Nature and kite
What is the kite made of?,Metal,Plastic,Paper and sticks,Wood,Paper and sticks
What does kite do in breeze?,Rests,Dances,Falls,Sleeps,Dances
What happens when wind is gone?,Kite rises,Kite falls,Kite tears,Kite stops,Kite falls
What controls kite’s height?,Wind,String,Stick,Paper,String
What does the kite’s tail do?,Stays still,Flutters,Disappears,Breaks,Flutters
What time is kite flying?,Morning,Daytime,Night,Evening,Daytime
What is the mood of poem?,Serious,Playful,Angry,Sad,Playful
What happens when wind fights?,Kite wins,String wins,Kite breaks,Nothing,Kite breaks
What does kite depend on?,Paper,Stick,String and wind,Sun,String and wind
What does kite symbolize?,Freedom,Strength,Joy and play,Fear,Joy and play
What does poet describe through kite?,Sadness,Fun of flying kite,Hardship,Work,Fun of flying kite
What is needed to keep kite flying?,Strong hand,Good wind,Long string,All of these,All of these
What happens when string snaps suddenly?,Kite rises forever,Kite falls,Kite flies away,Kite breaks,Kite breaks
What kind of poem is this?,Nature poem,Narrative poem,Humorous poem,Descriptive poem,Descriptive poem
What happens when kite loses balance?,It dances,It dips,It flies straight,It shines,It dips
What does wind do to kite?,Lifts it,Ignores it,Destroys it,Hides it,Lifts it
What does the poem mainly show?,Kite flying joy,Competition,Nature power,Technology,Kite flying joy
What does kite do when wind roars?,Sleeps,Fights,Falls,Shines,Fights
What is the ending mood?,Sad,Joyful,Angry,Scary,Joyful
What does the poem teach?,Fly kites,Enjoy nature,Control wind,Make kites,Enjoy nature
What makes kite lively?,Paint,Wind,String,Stick,Wind
What is the main theme?,Wind,Nature and play,Kite making,Festival,Nature and play
