Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central theme?,Conflict,Anger,Friendship resilience,Humor,Friendship resilience
Why is quarrel described briefly?,Minor importance,Quick resolution,No hatred,Both B and C,Both B and C
What literary technique is used?,Irony,Contrast,Repetition,Metaphor,Contrast
Why is anger transient?,Lack of depth,Humor dissolves it,Friendship stronger,Both B and C,Both B and C
What does laughter function as?,Defense,Healing tool,Mockery,Escape,Healing tool
Why does poet avoid blame?,Neutral stance,Focus on resolution,Relatability,Both B and C,Both B and C
What does quarrel symbolize?,Human ego,Daily conflicts,Emotional immaturity,All,All
Why is poem universal?,Common human behavior,Simple language,Short length,All,All
What philosophical idea emerges?,Anger is natural,Friendship over ego,Conflict is needed,Silence best,Friendship over ego
Why is humor effective?,Reduces ego,Creates distance,Deflates anger,All,All
What does poet celebrate?,Resolution,Friendship continuity,Human warmth,All,All
Why is conflict non-destructive?,No malice,Quick repair,Strong bond,All,All
What does poem suggest about ego?,Harmless,Temporary,Dangerous,Essential,Temporary
Why is poem light-toned?,No violence,Quick joy return,Humor present,All,All
What is poet’s implicit advice?,Avoid conflict,Control anger,Use humor wisely,Both B and C,Both B and C
What worldview is presented?,Conflict-based,Humanistic,Pessimistic,Realistic,Humanistic
Why does poem end positively?,Moral intent,Real-life reflection,Emotional closure,All,All
What does poem say about anger duration?,Long-lasting,Permanent,Short-lived,Useful,Short-lived
Why is quarrel resolved internally?,No external force,Self-realization,Emotional maturity,All,All
What does the poem reject?,Prolonged anger,Hatred,Bitterness,All,All
What role does self-awareness play?,Ends conflict,Reduces pride,Restores bond,All,All
What ethical value is central?,Patience,Friendship,Humor,Power,Friendship
Why is conflict not condemned harshly?,Human nature accepted,Minor scale,Quick fix,Both A and B,Both A and B
What does laughter replace?,Anger,Sadness,Fear,Pride,Anger
Why is poem experiential?,Based on observation,Everyday life,Personal emotions,Both A and B,Both A and B
What does the quarrel teach indirectly?,Forgiveness,Letting go,Perspective,Both A and B,Both A and B
What psychological shift occurs?,Tension to ease,Anger to joy,Hostility to warmth,All,All
Why does poem resonate with children?,Simple conflict,Relatable feelings,Short resolution,All,All
What does poet avoid?,Moral preaching,Complex ideas,Judgment,Both A and C,Both A and C
What is quarrel’s real cost?,Energy drain,Emotional strain,Temporary distance,Both A and B,Both A and B
Why is friendship resilient?,Shared history,Emotional bond,Mutual understanding,All,All
What is the poem’s strength?,Simplicity,Universality,Humor,All,All
What does poem imply about conflict management?,Ignore it,Suppress it,Diffuse it wisely,Escalate it,Diffuse it wisely
Why is laughter spontaneous?,Emotion release,Realization,Relief,Both A and C,Both A and C
What is the poem’s moral stance?,Didactic,Gentle instructive,Neutral,Critical,Gentle instructive
Why is quarrel momentary?,Emotion-driven,Lacks substance,No long-term impact,All,All
What does poem affirm?,Human warmth,Emotional intelligence,Friendship durability,All,All
Why is poem non-dramatic?,Low stakes,Quick resolution,Everyday setting,All,All
What does poet trust?,Human goodness,Time,Reason,All,All
What value outlasts anger?,Power,Ego,Friendship,Silence,Friendship
What kind of wisdom is shown?,Practical,Moral,Emotional,Both A and C,Both A and C
What does poem caution against?,Ego dominance,Prolonged anger,Breaking bonds,Both A and B,Both A and B
What final feeling remains?,Resentment,Joy,Peace,Joy and peace,Joy and peace
What makes the poem enduring?,Truthful emotion,Simple form,Universal message,All,All
