Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,E-Yeh-Shure,Ruskin Bond,Eleanor Farjeon,Harry Behn,E-Yeh-Shure
What is the poem about?,Nature,Beauty,Friends,Animals,Beauty
Where can beauty be seen?,Only in flowers,Only in people,Everywhere,Only in art,Everywhere
What shows beauty during the day?,Moon,Stars,Sunlight,Rain,Sunlight
What shows beauty at night?,Sun,Moon and stars,Clouds,Rain,Moon and stars
What natural sound shows beauty?,Silence,Birds singing,Noise,Thunder,Birds singing
What moves in the wind beautifully?,Cars,Leaves,Buildings,Stones,Leaves
What does the poet say about beauty?,It disappears,It is rare,It is everywhere,It is costly,It is everywhere
What do birds do?,Cry,Sing,Fight,Hide,Sing
What shows beauty in the morning?,Darkness,Sunrise,Night,Rain,Sunrise
What shows beauty in the evening?,Sunset,Noon,Midnight,Storm,Sunset
What kind of poem is this?,Funny poem,Nature poem,Moral poem,War poem,Nature poem
What is the mood of the poem?,Sad,Joyful,Peaceful,Angry,Peaceful
Where is beauty found at night?,In darkness,In moonlight,In noise,In fear,In moonlight
What does the poet admire?,Power,Beauty,Money,Strength,Beauty
What does the wind do?,Blow gently,Destroy trees,Stop moving,Make noise,Blow gently
What do birds’ songs represent?,Fear,Joy,Anger,Sadness,Joy
What does the poet want readers to notice?,Problems,Beauty in nature,People only,Cities,Beauty in nature
What time shows beauty with colors?,Night,Day and night,Noon,Winter,Day and night
What shines at night?,Sun,Stars,Clouds,Rain,Stars
What dances in the breeze?,Houses,Leaves,Mountains,Roads,Leaves
What kind of beauty is described?,Artificial,Natural,Costly,Hidden,Natural
What does beauty bring?,Fear,Peace,Anger,Noise,Peace
What does the poet suggest?,Ignore beauty,Look for beauty everywhere,Buy beautiful things,Travel far,Look for beauty everywhere
What does the poem celebrate?,Wealth,Nature’s beauty,Power,Technology,Nature’s beauty
What is beauty compared to?,Gold,Light,Nothing specific,Money,Nothing specific
What do stars do?,Fall,Shine,Sleep,Cry,Shine
What does the poem say about beauty?,It fades,It stays,It is temporary,It lasts forever,It lasts forever
What season is mentioned?,Winter,Spring,Summer,None,None
What is pleasant to hear?,Noise,Birds singing,Traffic,Shouting,Birds singing
What moves quietly?,Wind,Cars,Trains,People,Wind
What does the poem encourage?,Worry,Peacefulness,Anger,Hatred,Peacefulness
What do sunsets show?,Darkness,Beauty,Fear,Noise,Beauty
What kind of beauty is free?,Artificial,Natural,Costly,None,Natural
What makes the world beautiful?,Nature and sounds,Buildings,Money,People only,Nature and sounds
What does poet feel?,Anger,Awe,Greed,Fear,Awe
What does the poem focus on?,City life,Nature scenes,School life,Family,Nature scenes
What time of day shows beauty?,Morning only,Night only,Both day and night,None,Both day and night
What creates calmness?,Noise,Beauty,Anger,Speed,Beauty
What does beauty do to mind?,Disturbs,Calms,Angers,Confuses,Calms
What is beauty associated with?,Violence,Peace,War,Power,Peace
What is visible beauty?,Birds,Leaves,Sun,All of these,All of these
What does poet want us to feel?,Fear,Joy and peace,Anger,Jealousy,Joy and peace
What kind of message is given?,Negative,Neutral,Positive,Confusing,Positive
What makes nature musical?,Machines,Birds,People,Wind,Birds
What is the central idea?,Nature’s beauty is everywhere,Beauty is costly,Beauty is rare,Beauty is hidden,Nature’s beauty is everywhere
