Question,Option A,Option B,Option C,Option D,Correct Answer
Why does Miss Beam include special days?,To punish students,To test students,To teach empathy,To save time,To teach empathy
Why are children uncomfortable on Blind Day?,Fear of dark,Loss of independence,Pain,Noise,Loss of independence
What does Lame Day teach practically?,Strength,Speed,Sympathy for disabled,Anger,Sympathy for disabled
Why are helpers important?,They are teachers,They supervise,They support learning,They punish,They support learning
What change does narrator notice?,Fear,Discipline,Kindness,Competition,Kindness
Why does Miss Beam reject book-only learning?,It is boring,It is costly,It lacks experience,It is outdated,It lacks experience
What role does experience play?,Secondary,Equal,Primary,None,Primary
Why are students cooperative?,Rules,Fear,Shared experience,Competition,Shared experience
What quality is strengthened most?,Memory,Empathy,Speed,Accuracy,Empathy
What does Blind Day simulate?,Accident,Illness,Visual disability,Punishment,Visual disability
Why is Dumb Day included?,Speech practice,Silence value,Communication difficulty,Fun,Communication difficulty
What is Miss Beam’s philosophy?,Strictness,Freedom,Character building,Marks,Character building
What does the school focus on?,Grades,Exams,Human values,Sports,Human values
Why do students willingly follow rules?,Fear of punishment,Understanding purpose,Competition,Marks,Understanding purpose
What does experiential learning ensure?,Fast results,Deep understanding,High marks,Discipline,Deep understanding
Why does narrator admire school?,No homework,Kind atmosphere,Games,Easy exams,Kind atmosphere
What does the story criticize?,Teachers,Bookish education,Students,Parents,Bookish education
Why is rotation used?,Fairness,Fun,Punishment,Convenience,Fairness
What kind of responsibility do students learn?,Academic only,Social responsibility,Personal gain,Competition,Social responsibility
Why are helpers also learners?,They observe others,They practice teaching,They learn empathy,They gain marks,They learn empathy
What effect do special days have?,Temporary,Lasting,Negative,None,Lasting
Why are students grateful?,Rewards,Support received,Praise,Fear,Support received
What does the narrator symbolize?,Teacher,Student,Observer,Parent,Observer
What teaching model is shown?,Traditional,Modern,Value-based,Online,Value-based
Why is discomfort necessary?,For punishment,For marks,For understanding others,For fun,For understanding others
What does Miss Beam discourage?,Marks focus,Empathy,Discipline,Rules,Marks focus
What quality grows through struggle?,Anger,Confidence,Empathy,Laziness,Empathy
What does Blind Day remove?,Sight,Independence,Fear,Knowledge,Independence
What is the hidden curriculum?,Syllabus,Values timetable,Moral education,Exams,Moral education
Why is kindness central?,It builds society,It improves marks,It avoids rules,It saves time,It builds society
What is Miss Beam’s leadership style?,Authoritarian,Democratic,Caring,Strict,Caring
Why do children accept hardships?,Fear,Understanding purpose,Force,Reward,Understanding purpose
What does the school prepare students for?,Exams,Life,Competition,Jobs,Life
Why are values taught early?,Easy learning,Long-lasting impact,Fast results,Parental demand,Long-lasting impact
What does experiential learning replace?,Games,Punishment,Theory-only learning,Teachers,Theory-only learning
Why is the narrator convinced?,Sees results,Hears rules,Reads books,Sees marks,Sees results
What social group is highlighted?,Teachers,Disabled people,Parents,Leaders,Disabled people
Why is empathy essential?,For marks,For harmony,For exams,For fear,For harmony
What change is visible in children?,Marks,Behavior,Uniforms,Speed,Behavior
Why is self-discipline important?,Avoid punishment,Internal control,Marks,Fear,Internal control
What does the story promote?,Competition,Cooperation,Isolation,Speed,Cooperation
Why does Miss Beam trust students?,Rules,Fear,Understanding,Motivation,Understanding
What value replaces fear?,Discipline,Empathy,Obedience,Competition,Empathy
What makes the school successful?,Strict rules,Special days,Value focus,Exams,Value focus
What is the long-term effect?,High scores,Responsible citizens,More schools,Fame,Responsible citizens
What does the narrator learn finally?,School rules,Teaching style,Importance of experience,Discipline,Importance of experience
