Question,Option A,Option B,Option C,Option D,Correct Answer
What kind of place is a desert?,Cold,Very wet,Very hot and dry,Green,Very hot and dry
What is scarce in deserts?,Sand,Sunlight,Water,Trees,Water
Which animal is called the ship of the desert?,Horse,Camel,Donkey,Cow,Camel
Why are camels useful in deserts?,They run fast,They store water,They fly,They eat less,They store water
Which animal has long ears?,Camel,Desert fox,Snake,Lion,Desert fox
Why do desert animals stay in burrows?,To sleep,To escape heat,To hunt,To hide from people,To escape heat
Which animal is a reptile?,Camel,Rat,Snake,Fox,Snake
What do desert animals need to survive?,Water and shelter,Food only,Friends,Trees,Water and shelter
When do many desert animals come out?,Daytime,Nighttime,Noon,Morning,Nighttime
Why do animals avoid daytime heat?,It is cold,It is dangerous,It is very hot,It rains,It is very hot
Which animal can live without water for days?,Dog,Camel,Cat,Goat,Camel
What covers the camel’s body?,Fur,Hair,Thick skin,Scales,Thick skin
Which animal lives in burrows?,Camel,Snake,Desert rat,Lion,Desert rat
What helps animals keep cool?,Burrows,Sunlight,Sand,Fur,Burrows
Which animal hunts at night?,Camel,Fox,Goat,Cow,Fox
Why do snakes hide in sand?,To sleep,To stay cool,To hunt birds,To escape rain,To stay cool
What is the desert fox also called?,Red fox,Fennec fox,Arctic fox,Wild fox,Fennec fox
What do camels eat?,Meat,Grass and leaves,Insects,Fish,Grass and leaves
Which animal has padded feet?,Horse,Dog,Camel,Goat,Camel
Why do animals have light-colored fur?,To look good,To attract mates,To reflect heat,To hide food,To reflect heat
What happens during the day in deserts?,Cold nights,Heavy rain,Extreme heat,Snowfall,Extreme heat
Which animal is cold-blooded?,Camel,Snake,Rat,Fox,Snake
What helps desert animals survive?,Adaptations,Luck,Magic,Speed,Adaptations
Where do desert animals get water?,Rivers,Stored in body,Rain always,Lakes,Stored in body
Which animal has large ears to lose heat?,Camel,Fennec fox,Lion,Goat,Fennec fox
What is a burrow?,Nest,Tree hole,Underground hole,Rock cave,Underground hole
Why do camels have long eyelashes?,To see better,To keep sand out,To look beautiful,To sleep,To keep sand out
Which animal is nocturnal?,Camel,Fox,Cow,Horse,Fox
What is the main danger in deserts?,Cold,Predators,Heat,Noise,Heat
What helps camels walk on sand?,Sharp claws,Padded feet,Hooves,Wings,Padded feet
What do snakes eat?,Grass,Insects,Rats and small animals,Leaves,Rats and small animals
Why is desert life difficult?,Too much water,Extreme climate,Many trees,Easy food,Extreme climate
Which animal can close its nostrils?,Camel,Fox,Rat,Snake,Camel
What do desert animals avoid?,Night,Shade,Heat,Water,Heat
Which animal lives longest without food?,Dog,Cat,Camel,Goat,Camel
What is adaptation?,Habit,Survival feature,Disease,Food,Survival feature
Which animal has thick fur on feet?,Camel,Fox,Rat,Lion,Camel
Why do animals stay inactive in day?,To rest,To hunt,To avoid heat,To eat,To avoid heat
Which animal moves silently at night?,Camel,Fox,Elephant,Goat,Fox
What do camels store in hump?,Water,Fat,Food,Bones,Fat
What does fat help camel do?,Run fast,Stay warm,Survive without food,Fly,Survive without food
Which animal is smallest?,Camel,Fox,Rat,Lion,Rat
What is the main theme?,Forest life,Ocean life,Desert survival,Mountain life,Desert survival
What helps animals survive deserts?,Luck,Strength,Adaptation,Magic,Adaptation
