Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Eleanor Farjeon,Harry Behn,Ruskin Bond,Lorraine M. Halli,Eleanor Farjeon
What is the poem about?,A fight between enemies,A quarrel between friends,A war,A family dispute,A quarrel between friends
Who are quarrelling in the poem?,Enemies,Strangers,Friends,Family,Friends
What starts the quarrel?,Big issue,Small misunderstanding,Money problem,Property issue,Small misunderstanding
What happens during the quarrel?,They fight badly,They shout,They separate,They laugh,They shout
What do friends feel after quarrel?,Happy,Sad,Angry,Regretful,Regretful
How long does the quarrel last?,Many days,Whole day,Very short time,Forever,Very short time
What helps end the quarrel?,Anger,Silence,Laughter,Smile,Laughter
What does the quarrel turn into?,Fight,Hatred,Friendship,Fun,Fun
What emotion replaces anger?,Fear,Love,Joy,Laughter,Laughter
What do friends realize?,Quarrel is serious,Quarrel is silly,Quarrel is needed,Quarrel is harmful,Quarrel is silly
What kind of quarrel is shown?,Serious,Long,Trivial,Violent,Trivial
Why do they stop quarrelling?,Someone stops them,They feel tired,They laugh,They are punished,They laugh
What does laughter do?,Increases anger,Ends quarrel,Starts fight,Creates silence,Ends quarrel
What is the tone of poem?,Serious,Angry,Light-hearted,Sad,Light-hearted
What does the poem teach?,Fight more,End friendship,Avoid small fights,Win arguments,Avoid small fights
Who is wiser in the poem?,One friend,Both friends,None,Teacher,Both friends
What is the ending like?,Sad,Angry,Happy,Violent,Happy
What is the mood after quarrel?,Angry,Sad,Joyful,Fearful,Joyful
What caused the quarrel?,Big mistake,Silly reason,Cheating,Lies,Silly reason
What lesson do friends learn?,Never fight,Talk loudly,Laugh together,Ignore friends,Laugh together
What does quarrel do to friendship?,Strengthens it,Breaks it temporarily,Ends it forever,Makes enemies,Breaks it temporarily
What feeling brings them together?,Anger,Laughter,Fear,Silence,Laughter
What kind of poem is this?,Nature poem,Moral poem,Adventure poem,War poem,Moral poem
What do friends do after quarrel?,Stop talking,Become enemies,Make up,Leave forever,Make up
What replaces shouting?,Crying,Laughter,Silence,Fighting,Laughter
What is highlighted?,Anger,Friendship,Fear,Power,Friendship
What is the quarrel described as?,Big fight,Silly event,Serious issue,Violent act,Silly event
What brings peace?,Punishment,Time,Laughter,Anger,Laughter
What does the poem say about quarrels?,They are needed,They are useless,They are funny,They are dangerous,They are useless
Who ends the quarrel?,Friends,Teacher,Parents,None,Friends
What quality ends fight?,Anger,Patience,Humor,Strength,Humor
What does the poem value?,Winning,Friendship,Power,Anger,Friendship
What emotion starts quarrel?,Joy,Anger,Laughter,Fear,Anger
What emotion ends quarrel?,Anger,Fear,Laughter,Sadness,Laughter
What kind of message is given?,Negative,Neutral,Positive,Confusing,Positive
What happens to anger?,Grows,Stays,Breaks,Disappears,Disappears
What does laughter symbolize?,Mockery,Joy,Peace,All,Both B and C
What does the poem mainly focus on?,Fight,Nature,Human relations,War,Human relations
What does the poet suggest?,Quarrel often,End friendship,Don’t quarrel long,Be angry,Don’t quarrel long
What remains after quarrel?,Anger,Friendship,Hatred,Silence,Friendship
What does the poem reflect?,Serious conflicts,Everyday life,War stories,History,Everyday life
What kind of conflict is shown?,Major,Minor,Violent,Serious,Minor
What brings happiness back?,Time,Laughter,Apology,Punishment,Laughter
What does the poem show about anger?,It lasts long,It disappears quickly,It grows stronger,It is needed,It disappears quickly
What value is encouraged?,Hatred,Revenge,Understanding,Power,Understanding
What do friends learn finally?,To fight more,To laugh at anger,To end friendship,To argue,To laugh at anger
What does the title suggest?,Serious fight,Big war,Small argument,Family issue,Small argument
