Question,Option A,Option B,Option C,Option D,Correct Answer
Why did Patrick save the elf?,Out of fear,Out of kindness,For money,For magic,Out of kindness
What condition did the elf put before helping?,Food,Money,Three wishes,Time,Three wishes
Why was the elf unhappy while doing homework?,It was boring,He hated Patrick,He lacked knowledge,He was tired,He lacked knowledge
What did the elf ask Patrick to bring?,Food,Toys,Books,Games,Books
Why did Patrick have to help the elf?,Elf was weak in studies,Elf was lazy,Elf was sick,Elf was busy,Elf was weak in studies
What change came in Patrick’s routine?,More play,More sleep,More study,No change,More study
Why did Patrick stop playing games?,Parents forced him,Elf ordered him,Homework pressure,School rules,Homework pressure
Which quality did Patrick develop?,Laziness,Responsibility,Anger,Pride,Responsibility
How did Patrick’s handwriting change?,Got worse,Stayed same,Improved,Disappeared,Improved
Why were teachers surprised?,Patrick was absent,Patrick topped exams,Patrick improved suddenly,Elf appeared,Patrick improved suddenly
What did the elf mostly do while studying?,Sleep,Complain,Write neatly,Teach Patrick,Complain
Why did Patrick feel tired?,Too much play,Too much study,Illness,Punishment,Too much study
What was the elf’s attitude toward work?,Happy,Angry,Complaining,Excited,Complaining
What helped Patrick learn better?,Magic,Elf,Books and practice,Luck,Books and practice
Why did Patrick agree to help the elf?,He was forced,He felt responsible,He was scared,He was greedy,He felt responsible
When did Patrick complete homework?,Early morning,Evening,Late night,Never,Late night
Why did Patrick’s grades improve?,Cheating,Magic,Hard work,Teacher help,Hard work
What does the elf symbolize?,Shortcut,Hard work,Luck,Failure,Shortcut
What lesson did Patrick learn?,Magic solves problems,Homework is bad,Hard work matters,Teachers are unfair,Hard work matters
Why did the elf disappear after exams?,Magic ended,He was tired,Patrick passed,Parents arrived,Magic ended
Who benefited most from the deal?,Elf,Patrick,Teachers,Parents,Patrick
What did Patrick sacrifice for success?,Food,Friends,Sleep,School,Sleep
Why did Patrick become serious?,Fear of failure,Elf’s pressure,Study habit,Teacher’s scolding,Study habit
What did Patrick rely on finally?,Elf,Parents,Books and effort,Games,Books and effort
What role did books play?,Decoration,Entertainment,Learning tool,Punishment,Learning tool
What kind of student was Patrick at the end?,Lazy,Average,Hardworking,Absent,Hardworking
Why was the elf not helpful academically?,He was lazy,He hated school,He lacked knowledge,He was small,He lacked knowledge
What improved Patrick’s confidence?,Luck,Praise,Practice,Elf,Practice
Why is the story humorous?,Magic is real,Elf complains,Homework is easy,Patrick is lazy,Elf complains
What did Patrick realize about magic?,It is everything,It replaces effort,It is not enough,It is harmful,It is not enough
Why did Patrick succeed?,Because of wishes,Because of magic,Because of effort,Because of parents,Because of effort
What did the elf often demand?,Rest,Food,Help,Money,Help
What is the story’s theme?,Friendship,Magic,Responsibility,Adventure,Responsibility
Patrick’s success proves that?,Magic works,Effort works,Teachers are wrong,Games help,Effort works
Why did Patrick study sincerely?,Fear of elf,Desire to improve,Force from parents,Habit,Desire to improve
What does the elf represent?,Discipline,Shortcut thinking,Success,Teacher,Shortcut thinking
What kind of ending does the story have?,Sad,Tragic,Happy,Confusing,Happy
What helped Patrick mature?,Time,Magic,Hard work,Parents,Hard work
What was Patrick’s biggest change?,Looks,Attitude,Friends,School,Attitude
Why is Patrick the real hero?,He found elf,He studied hard,He made wishes,He played games,He studied hard
Patrick’s improvement was?,Temporary,Magical,Permanent,Lucky,Permanent
What does the story criticize?,Homework,Teachers,Shortcuts,Books,Shortcuts
Patrick learned success needs?,Luck,Magic,Effort,Friends,Effort
What made Patrick disciplined?,Fear,Elf’s complaints,Routine,Parents,Routine
The story encourages students to?,Avoid homework,Depend on magic,Work hard,Cheat,Work hard
