Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Shel Silverstein,Rabindranath Tagore,Peter Dixon,Eleanor Farjeon,Shel Silverstein
What is the poem about?,Nature,Fear and imagination,School life,Teachers,Fear and imagination
Who is speaking in the poem?,Teacher,Adult,Child,Friend,Child
What word is repeated many times?,Why,When,Whatif,Where,Whatif
What does the child imagine?,Happy things,Scary situations,Games,Stories,Scary situations
What kind of questions are asked?,Logical,Funny,Worried and fearful,Scientific,Worried and fearful
What is the tone of the poem?,Serious,Humorous,Worried,Peaceful,Worried
What does the child fear?,Imaginary problems,Real danger,Friends,Teachers,Imaginary problems
What does “Whatif” represent?,Certainty,Doubt,Imagination,Fear,Fear
What happens to worries in the poem?,They grow,They disappear,They become funny,They stay the same,They disappear
What time does the child worry?,Morning,Night,Evening,Afternoon,Night
What does the child imagine about school?,Fun,Holidays,Exams and failure,Games,Exams and failure
What does the child imagine about health?,Strong body,Getting sick,Playing games,Running fast,Getting sick
What kind of fears are shown?,Real,Imaginary,Serious,Dangerous,Imaginary
What is the ending of the poem?,Sad,Scary,Happy and reassuring,Angry,Happy and reassuring
What happens in reality?,Fears come true,Nothing bad happens,Child fails exams,Child gets sick,Nothing bad happens
What lesson does the poem teach?,Worry more,Ignore problems,Worrying is useless,Be fearful, Worrying is useless
What kind of poem is this?,Nature poem,Humorous poem,Reflective poem,War poem,Reflective poem
What emotion dominates?,Joy,Fear,Anger,Excitement,Fear
What does the poem show about imagination?,It is bad,It creates fear,It helps study,It is useless,It creates fear
What word shows uncertainty?,If,Whatif,Why,How,Whatif
What does the child worry about most?,Food,School and health,Toys,Friends,School and health
What does the poem encourage?,More worry,Positive thinking,Anger,Silence,Positive thinking
What does the child realize at the end?,Fears are real,Fears are imaginary,Worry is harmful,Nothing happened,Both C and D,Both C and D
What kind of fears trouble the child?,Adult fears,Real fears,Imaginary fears,No fears,Imaginary fears
What happens to fears in daylight?,Increase,Disappear,Become real,Stay same,Disappear
What time is “Whatif” active?,Daytime,Night time,Evening,Morning,Night time
What causes the worries?,Reality,Imagination,Friends,Teachers,Imagination
What is the main theme?,Fear of darkness,Power of imagination,School pressure,Illness,Power of imagination
What does the poet use to show fear?,Questions,Commands,Advice,Orders,Questions
What kind of questions fill the poem?,Negative,Hopeful,Anxious,Funny,Anxious
What happens when child sleeps?,Worries grow,Worries vanish,Worries stay,Worries shout,Worries vanish
What does the poem suggest about worry?,It helps,It solves problems,It wastes time,It is useful,It wastes time
What is the poem’s message?,Fear is good,Worry is unnecessary,Imagination useless,Study hard,Worry is unnecessary
What does the child fear losing?,Marks,Health,Friends,Both A and B,Both A and B
What does “Whatif” do to child?,Scares,Helps,Teaches,Entertains,Scares
What does poem show about childhood?,Carefree,Fearful imagination,Strong mind,Anger,Fearful imagination
What happens at the end of night?,Problems appear,Night continues,Day comes,Child cries,Day comes
What helps end worries?,Night,Sleep,Daylight,Parents,Daylight
What does the poet highlight?,Reality,Imagination’s power,Discipline,Study,Imagination’s power
What kind of imagination is shown?,Creative,Fearful,Positive,Joyful,Fearful
What does the poem discourage?,Thinking,Questioning,Worrying,Imagination,Worrying
What feeling replaces fear at end?,Fear,Joy,Relief,Anger,Relief
What does poem make readers feel?,Scared,Thoughtful,Relaxed,Both B and C,Both B and C
What does the poem end with?,Question,Answer,Realization,Fear,Realization
What does the child learn?,Fear is real,Worry changes nothing,Imagination helps,Worry is useful,Worry changes nothing
