Question,Option A,Option B,Option C,Option D,Correct Answer
Why does Miss Beam introduce special days?,To punish students,To teach empathy,To test students,To reduce syllabus,To teach empathy
Why are children uncomfortable on Blind Day?,Fear of dark,Loss of independence,Pain,Noise,Loss of independence
What does Lame Day teach practically?,Speed,Strength,Sympathy for disabled,Anger,Sympathy for disabled
Why are helpers important?,They supervise,They punish,They support learning,They report students,They support learning
What change does narrator notice in students?,Fear,Kindness,Competition,Anger,Kindness
Why does Miss Beam reject book-only learning?,Too boring,Too costly,Lacks experience,Too old,Lacks experience
What role does experience play?,Secondary,Equal,Primary,None,Primary
Why are students cooperative?,Fear,Rules,Shared experience,Competition,Shared experience
What quality strengthens most?,Memory,Empathy,Speed,Accuracy,Empathy
What does Blind Day simulate?,Illness,Punishment,Visual disability,Accident,Visual disability
Why is Dumb Day included?,Fun,Speech practice,Communication difficulty,Silence value,Communication difficulty
What is Miss Beam’s philosophy?,Strictness,Freedom,Character building,Marks,Character building
What does the school focus on?,Grades,Exams,Human values,Sports,Human values
Why do students willingly follow rules?,Fear,Understanding purpose,Competition,Marks,Understanding purpose
What does experiential learning ensure?,Fast results,Deep understanding,High marks,Discipline,Deep understanding
Why does narrator admire school?,No homework,Kind atmosphere,Games,Easy exams,Kind atmosphere
What does the story criticize?,Teachers,Students,Bookish education,Parents,Bookish education
Why is rotation used?,Fun,Fairness,Punishment,Convenience,Fairness
What responsibility do students learn?,Academic only,Social responsibility,Personal gain,Competition,Social responsibility
Why are helpers also learners?,They teach others,They gain marks,They learn empathy,They get power,They learn empathy
What effect do special days have?,Temporary,Lasting,Negative,None,Lasting
Why are students grateful?,Rewards,Support received,Praise,Fear,Support received
What does narrator symbolize?,Teacher,Student,Observer,Parent,Observer
What teaching model is shown?,Traditional,Modern,Value-based,Online,Value-based
Why is discomfort necessary?,Punishment,Fun,Understanding others,Marks,Understanding others
What does Miss Beam discourage?,Values,Empathy,Marks obsession,Rules,Marks obsession
What quality grows through struggle?,Anger,Confidence,Empathy,Laziness,Empathy
What does Blind Day remove?,Sight,Knowledge,Independence,Fear,Independence
What is the hidden curriculum?,Syllabus,Moral education,Exams,Timetable,Moral education
Why is kindness central?,Improves marks,Builds society,Avoids rules,Saves time,Builds society
What leadership style does Miss Beam show?,Authoritarian,Democratic,Caring,Strict,Caring
Why do children accept hardships?,Fear,Rewards,Understanding purpose,Marks,Understanding purpose
What does the school prepare students for?,Exams,Life,Competition,Jobs,Life
Why are values taught early?,Easy learning,Long-lasting impact,Fast results,Parental demand,Long-lasting impact
What does experiential learning replace?,Games,Punishment,Theory-only learning,Teachers,Theory-only learning
Why is narrator convinced?,Reads books,Sees marks,Sees results,Hears rules,Sees results
What social group is highlighted?,Teachers,Disabled people,Parents,Leaders,Disabled people
Why is empathy essential?,For exams,For harmony,For fear,For marks,For harmony
What change is visible in children?,Marks,Behavior,Uniforms,Speed,Behavior
Why is self-discipline important?,Fear,Internal control,Marks,Punishment,Internal control
What does the story promote?,Competition,Cooperation,Isolation,Speed,Cooperation
What makes the school successful?,Strict rules,Special days,Value focus,Exams,Value focus
What is the long-term effect?,High scores,Responsible citizens,Fame,More schools,Responsible citizens
What does narrator learn finally?,Rules,Discipline,Importance of experience,Nothing,Importance of experience
