Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central philosophical idea?,Violence,Survival,Ecological balance,Power,Ecological balance
Why is the banyan tree a metaphor?,Shelter,Stability,Life continuity,Both B and C,Both B and C
What does the fight represent symbolically?,Good vs evil,Strength vs speed,Nature’s selection,Revenge,Nature’s selection
Why does author avoid moral judgment?,Nature is neutral,Animals innocent,Humans irrelevant,All,All
What does mongoose victory imply?,Skill over power,Speed over size,Adaptation success,Both A and B,Both A and B
Why is narrator passive?,Observer role,Respect nature,Fear,Awe,Both A and B
What ecological law is shown?,Food chain,Natural selection,Competition,All,All
Why is balance restored naturally?,Self-regulation,Predator removal,Energy limit,All,All
What does banyan tree represent ecologically?,Keystone habitat,Neutral space,Dominance,Power,Keystone habitat
Why is violence brief?,Energy efficiency,Population control,Natural limit,All,All
What does author celebrate?,Nature’s order,Animal strength,Human curiosity,Violence,Nature’s order
Why is snake dangerous?,Venom,Stealth,Strength,Both A and B,Both A and B
What does mongoose strategy show?,Instinctive intelligence,Training,Planning,Learning,Instinctive intelligence
Why is story timeless?,Universal nature laws,Human emotion,Cultural setting,Age,Universal nature laws
What does banyan tree’s age symbolize?,Power,Wisdom,Continuity,Authority,Continuity
Why is narrator fascinated not fearful?,Curiosity dominates,Distance safety,Respect nature,All,All
What is implied about human role?,Observer,Intruder,Controller,Victim,Observer
Why is ecosystem stable?,Interdependence,Dominance,Hierarchy,Control,Interdependence
What does survival of fittest mean here?,Strongest wins,Best adapted wins,Largest wins,Fastest wins,Best adapted wins
Why is mongoose adapted?,Speed,Agility,Strategy,All,All
What does snake rely on unsuccessfully?,Venom alone,Strength alone,Size alone,All,All
What scientific concept dominates?,Evolution,Adaptation,Ecology,Both B and C,Both B and C
Why is banyan tree undisturbed?,Rooted stability,Natural resilience,Scale,Both A and B,Both A and B
What does author imply about fear?,Natural response,Not controlling,Manageable,Both A and B,Both A and B
Why is narrator’s learning implicit?,Experience based,No instruction,Observation,Both A and C,Both A and C
What does tree teach silently?,Coexistence,Balance,Patience,All,All
Why is mongoose fearless?,Evolutionary trait,Instinct,Experience,All,All
What role does size play?,Less important,Decisive,Irrelevant,Dominant,Less important
Why is the ending peaceful?,Cycle complete,Balance achieved,Danger passed,All,All
What does fight exclude?,Emotion,Morality,Planning,All,All
What worldview is presented?,Anthropocentric,Nature-centric,Human dominance,Animal cruelty,Nature-centric
Why is banyan tree keystone?,Supports biodiversity,Long life,Large area,All,All
What is author’s stance?,Observational,Objective,Respectful,All,All
Why is conflict necessary?,Population balance,Adaptation test,Evolutionary pressure,All,All
What does narrator gain?,Knowledge,Respect,Wisdom,All,All
Why does story avoid hero-villain?,Nature neutrality,Complexity,Simplicity,Both A and B,Both A and B
What does banyan tree outlast?,Conflict,Generations,Animals,Both A and B,Both A and B
What universal lesson exists?,Respect ecosystems,Accept natural laws,Avoid interference,Both A and B,Both A and B
What is ultimate message?,Nature sustains itself,Humans dominate,Violence rules,Strength wins,Nature sustains itself
