Question,Option A,Option B,Option C,Option D,Correct Answer
Why does the poet call words wonderful?,They are loud,They are magical,They express thoughts,They are costly,They express thoughts
Why should words not be wasted?,They disappear,They lose meaning,They become noisy,They hurt ears,They lose meaning
What power do words have?,Physical strength,Emotional impact,Speed,None,Emotional impact
Why should words be chosen carefully?,They are rare,They affect others,They are long,They confuse speakers,They affect others
What can careless words do?,Entertain,Hurt feelings,Help others,Create joy,Hurt feelings
What does poet compare words to?,Food,Tools,Weapons,Toys,Tools
Why are words important in communication?,They connect people,They confuse people,They stop fights,They create noise,They connect people
What kind of words create images?,Harsh,Empty,Thoughtful,Meaningless,Thoughtful
Why does poet warn children?,They speak too much,They misuse words,They forget words,They are silent,They misuse words
What kind of words heal?,Angry,Kind,Loud,Fast,Kind
What do words build between people?,Fear,Silence,Understanding,Anger,Understanding
Why does poet say words can hurt?,They are sharp,They affect emotions,They are loud,They are heavy,They affect emotions
What does poet encourage before speaking?,Shouting,Thinking,Listening,Writing,Thinking
What kind of poem is this?,Narrative,Moral,Humorous,Nature,Moral
Why does poet value words?,They entertain,They create meaning,They are fun,They are long,They create meaning
What happens when words are used wisely?,Conflict grows,Peace increases,Noise spreads,Confusion spreads,Peace increases
What does poet suggest about silence?,Always better,Useless,Sometimes better,None,Sometimes better
What role do words play in relationships?,Break bonds,Build bonds,Create fear,End friendship,Build bonds
What does poem suggest about harsh words?,They motivate,They hurt,They help,They teach,They hurt
What does poet warn against?,Careless speech,Silence,Listening,Reading,Careless speech
What is the tone of the poem?,Serious,Reflective,Angry,Sad,Reflective
What kind of words cause conflict?,Kind,Careless,Thoughtful,Soft,Careless
Why are words powerful?,Influence emotions,Influence weather,Influence strength,Influence speed,Influence emotions
What is emphasized more?,Quantity of words,Quality of words,Speed of speech,Loudness,Quality of words
Why does poet repeat advice?,Stress importance,Increase length,Fill space,Confuse reader,Stress importance
What does poem teach about communication?,Speak often,Speak wisely,Speak loudly,Speak fast,Speak wisely
What do words help avoid?,Peace,Conflict,Understanding,Joy,Conflict
Why are words compared to tools?,They build meaning,They make noise,They are heavy,They are shiny,They build meaning
What happens when words are misused?,Harmony,Joy,Damage,None,Damage
What does poet admire?,Silence,Noise,Words,Anger,Words
What kind of learning is shown?,Practical,Emotional,Social,Both B and C,Both B and C
Why is poem relevant?,Daily life use,School rules,Exams,Games,Daily life use
What does poet suggest about expression?,Essential,Dangerous,Useless,Optional,Essential
What value is promoted?,Aggression,Carefulness,Speed,Laziness,Carefulness
Why are words called wonderful?,They shape thoughts,They confuse people,They are loud,They scare people,They shape thoughts
What do words give life?,Noise,Meaning,Anger,Fear,Meaning
Why should children learn this poem?,Speak carefully,Win arguments,Talk more,Be silent,Speak carefully
What happens if words are ignored?,Nothing,Meaning lost,Joy gained,Power gained,Meaning lost
What does poem discourage?,Thoughtful talk,Kind speech,Careless speech,Clear ideas,Careless speech
What does poet trust?,Words’ power,Silence,Anger,Force,Words’ power
What does poem show about responsibility?,Words need care,Words need speed,Words need noise,Words need force,Words need care
What does poet expect from readers?,Awareness,Silence,Anger,Argument,Awareness
What is the central idea?,Power of words,Fun of words,Nature beauty,School discipline,Power of words
