Question,Option A,Option B,Option C,Option D,Correct Answer
Why did Rasheed go to the fair?,Parents sent him,To enjoy Eid,To earn money,To meet friends,To enjoy Eid
Why was Rasheed attracted to the stall?,Cheap cost,Big prizes,Magic tricks,Friendly owner,Big prizes
Why is the game unfair?,Biased outcomes,Hidden trick,Wrong rules,High cost,Hidden trick
Why did Rasheed keep playing?,Hope of winning big,Fear of owner,Pressure from crowd,Fun only,Hope of winning big
What does first small win do?,Discourage,Encourage further play,End game,Create fear,Encourage further play
What mistake did Rasheed make?,Trusted stranger,Ignored advice,Overconfidence,All of these,All of these
Why is magician clever?,Controls outcomes,Uses magic,Uses strength,Uses fear,Controls outcomes
What does the game represent?,Fun,Chance,Temptation,Gambling,Gambling
What lesson does story teach?,Skill matters,Luck matters,Greed harms,Games cheat,Greed harms
Why did Rasheed not stop early?,Greed,Curiosity,Fear,Ignorance,Greed
What human weakness is shown?,Fear,Anger,Greed,Laziness,Greed
What does the fair symbolize?,Joy,Temptation,Freedom,Market,Temptation
Why is Rasheed’s loss inevitable?,Game rigged,He was careless,No skill involved,All of these,All of these
What role does hope play?,Motivates,Deceives,Encourages patience,Builds trust,Deceives
Why is the magician unethical?,Cheats children,Uses power,Takes money,Shows tricks,Cheats children
What is Rasheed’s final realization?,Luck fails,Games are fair,Trick exposed,Fun over,Trick exposed
What does chance-based game ignore?,Effort,Rules,Skill,Fun,Skill
Why is gambling dangerous?,Addiction risk,Loss of money,False hope,All of these,All of these
What does Rasheed gain morally?,Wisdom,Anger,Confidence,Fear,Wisdom
Why is the stall crowded?,People winning,Hope of winning,Free prizes,Music,Hope of winning
What does the author criticize?,Fairs,Games,Greed-based games,Magic,Greed-based games
What does Rasheed’s age highlight?,Innocence,Strength,Experience,Confidence,Innocence
Why is first win important?,Builds trust,Ends game,Shows fairness,Creates fear,Builds trust
What does the story discourage?,Play,Fun,Greed,Games,Greed
What makes the game tempting?,Low cost,High reward,Both A and B,None,Both A and B
What does the ending achieve?,Justice,Lesson,Revenge,Fun,Lesson
What social evil is shown?,Cheating children,Gambling,Greed,Both B and C,Both B and C
Why does Rasheed regret?,Lost money,Lost trust,Lost opportunity,All of these,All of these
What is the tone of story?,Comic,Serious,Moralistic,Sad,Moralistic
Why does magician target children?,Easy victims,Money gain,Fun,Both A and B,Both A and B
What does the game depend on?,Skill,Luck,Effort,Practice,Luck
Why is Rasheed not rewarded?,No skill,Game fixed,Greedy choice,All of these,All of these
What does the story show about luck?,Reliable,Unfair,Uncertain,Guaranteed,Uncertain
Why is hope dangerous here?,False belief,Time waste,Loss of money,All of these,All of these
What value is promoted?,Greed,Caution,Risk-taking,Fear,Caution
What lesson is indirect?,Avoid fairs,Avoid gambling,Play wisely,Children beware,Avoid gambling
What does Rasheed’s experience teach?,Maturity,Carelessness,Trust,Skill,Maturity
What is the conflict?,Rasheed vs magician,Greed vs wisdom,Fun vs money,Hope vs fear,Greed vs wisdom
Why is the story realistic?,Common experience,Magic exists,Animals talk,Fairytale,Common experience
What does the magician symbolize?,Authority,Greed,Exploitation,Fun,Exploitation
What does Rasheed’s regret imply?,Learning occurred,Failure only,Punishment,None,Learning occurred
What human tendency is criticized?,Curiosity,Greed,Trust,Fun,Greed
What is the story’s main message?,Work hard,Avoid temptation,Trust luck,Enjoy fairs,Avoid temptation
