Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central philosophy of the poem?,Speech freedom,Ethics of language,Joy of talking,Power of silence,Ethics of language
Why are words described as tools?,They construct meaning,They cause noise,They entertain,They decorate,They construct meaning
What does poem imply about responsibility?,Words require care,Words are harmless,Words don’t matter,Words are free,Words require care
Why is careless speech dangerous?,Emotional harm,Social conflict,Misunderstanding,All of these,All of these
What does poet suggest about expression?,Should be thoughtful,Should be loud,Should be fast,Should be frequent,Should be thoughtful
What worldview does poem present?,Aggressive,Humanistic,Materialistic,Pessimistic,Humanistic
Why is poem didactic?,Teaches moral lesson,Gives rules,Scolds readers,Commands silence,Teaches moral lesson
What kind of intelligence is stressed?,Physical,Linguistic,Emotional,All of these,Both B and C
What does poem imply about silence?,Useless,Always wrong,Sometimes better,None,Sometimes better
Why is imagery important?,Clarifies impact,Adds beauty,Creates emotion,All,All
What does poem reject?,Careless language,Kind speech,Expression,Communication,Careless language
Why are words morally charged?,Affect others deeply,Carry intention,Create outcomes,All,All
What does poem suggest about conflict?,Words cause or solve,Always harmful,Always useful,Unavoidable,Words cause or solve
Why is poem timeless?,Universal language use,Human interaction,Daily relevance,All,All
What ethical value is central?,Kindness,Responsibility,Awareness,All,All
What does poet celebrate?,Language power,Silence,Control,Fear,Language power
Why is poem reflective?,Invites thinking,No narrative,Observational,Both A and C,Both A and C
What does poem teach indirectly?,Mindful speech,Emotional intelligence,Social responsibility,All,All
What is poet’s tone?,Commanding,Gentle instructive,Angry,Sarcastic,Gentle instructive
Why is poem suitable for children?,Simple advice,Daily relevance,Language focus,All,All
What does poet imply about misuse?,Consequences exist,No effect,Temporary,Harmless,Consequences exist
Why are words powerful tools?,Shape reality,Shape relations,Shape thoughts,All,All
What kind of learning is promoted?,Rote learning,Ethical learning,Mechanical learning,Silent learning,Ethical learning
Why is poem universal?,All speak words,All affect others,All communicate,Both A and B,Both A and B
What does poet assume about readers?,Capable of choice,Need guidance,Are careless,Are silent,Capable of choice
Why is poem humanistic?,Focus on impact on people,Ethical concern,Respect for others,All,All
What does poem discourage strongly?,Harsh speech,Thoughtless talk,Verbal harm,All,All
Why is repetition used?,Emphasis,Rhythm,Clarity,All,All
What kind of power is language?,Physical,Social,Emotional,Both B and C,Both B and C
What does poem imply about freedom of speech?,Needs responsibility,Unlimited,Always good,Always harmful,Needs responsibility
What does poem trust?,Human judgment,Words’ impact,Awareness,Both A and C,Both A and C
What philosophical stance is shown?,Moral realism,Aesthetic ethics,Ethical communication,None,Ethical communication
Why is poem not preachy?,Gentle tone,Examples,Implicit advice,Both A and C,Both A and C
What does poem highlight about meaning?,Created by words,Lost by misuse,Shared by care,All,All
What does poem suggest about harm?,Preventable,Unavoidable,Trivial,None,Preventable
Why is language powerful?,Connects minds,Shapes society,Influences emotions,All,All
What emotional skill is stressed?,Self-control,Empathy,Awareness,Both B and C,Both B and C
What does poem ultimately affirm?,Words shape life,Speech defines character,Responsibility matters,All,All
