Question,Option A,Option B,Option C,Option D,Correct Answer
Why was Taro worried about his father?,He was ill,He was poor,He wanted sake,He was angry,He wanted sake
What motivated Taro to work harder?,Greed,Fear,Love for parents,Reward,Love for parents
Why did Taro go deeper into the mountains?,To hunt animals,To cut more wood,To find treasure,To rest,To cut more wood
What made the waterfall special for Taro?,Magic words,Kind heart,Loud voice,Hard work,Kind heart
Why did Taro believe the waterfall was sake?,He imagined it,He tasted it,Someone told him,He was tired,He tasted it
Why did villagers fail to get sake?,They were poor,They shouted rudely,They were greedy,They were weak,They were greedy
What contrast is shown between Taro and villagers?,Strength vs weakness,Kindness vs greed,Rich vs poor,Brave vs coward,Kindness vs greed
Why did the Emperor honour Taro?,For bravery,For honesty,For love towards parents,For wealth,For love towards parents
What did the Emperor want people to learn?,Respect elders,Work hard,Obey king,Use magic,Respect elders
Why was Taro declared a model son?,He was rich,He was brave,He loved parents,He was lucky,He loved parents
What does sake symbolize in the story?,Luxury,Reward for goodness,Power,Greed,Reward for goodness
Why did Taro not keep the sake for himself?,He disliked it,He was scared,He cared for father,He was told not to,He cared for father
What did villagers shout at the waterfall?,Prayers,Magic words,Commands,Requests,Commands
What happened when villagers shouted?,Water turned to fire,Nothing happened,Water became gold,Sake flowed,Nothing happened
What human weakness is highlighted?,Fear,Greed,Laziness,Pride,Greed
What value does the story promote?,Obedience,Kindness,Strength,Wealth,Kindness
Why is Taro rewarded at the end?,Luck,Magic,Good character,Hard work,Good character
What did the Emperor build in Taro’s honour?,House,Statue,School,Temple,Statue
Why did news of Taro spread?,He became rich,Story of kindness,Magic waterfall,Emperor visited,Story of kindness
What lesson do villagers learn?,Be strong,Be patient,Be kind,Avoid mountains,Be kind
Why does the waterfall remain water later?,Magic ended,Greed failed,Taro left,Villagers angry,Greed failed
What role does nature play?,Enemy,Judge,Helper,Obstacle,Helper
What type of story is this?,Fairy tale,Myth,Legend,Fable,Fable
Why is Taro’s reward permanent?,Magic stayed,Emperor helped,Character praised,Villagers agreed,Character praised
What emotion guides Taro’s actions?,Fear,Greed,Love,Pride,Love
Why is the story suitable for children?,Simple language,Magic elements,Moral lesson,All of these,All of these
What does the Emperor symbolize?,Wealth,Justice,Power,Kindness,Justice
What quality do villagers lack?,Courage,Honesty,Kindness,Strength,Kindness
Why did villagers feel angry?,They were punished,They failed,They were poor,They were scared,They failed
What does Taro’s hard work show?,Desperation,Obedience,Responsibility,Greed,Responsibility
What kind of ending does the story have?,Sad,Tragic,Happy,Open-ended,Happy
Why did Taro not expect reward?,He was humble,He was afraid,He was unaware,He was greedy,He was humble
What does the waterfall test?,Strength,Voice,Intentions,Luck,Intentions
What makes Taro different?,Wealth,Magic,Kind heart,Strength,Kind heart
What message is indirect?,Magic helps,Greed fails,Hard work always pays,Kindness is rewarded,Kindness is rewarded
Why is Taro a role model?,He is rich,He is lucky,He respects parents,He is strong,He respects parents
What does villagers’ failure prove?,Magic is fake,Greed fails,Hard work useless,Nature cruel,Greed fails
What quality brings true reward?,Strength,Magic,Kindness,Money,Kindness
What does the story criticise?,Poverty,Greed,Laziness,Hard work,Greed
Why does Emperor reward moral behavior?,To teach lesson,To gain fame,To test villagers,To show power,To teach lesson
What kind of justice is shown?,Immediate,Divine,Moral,Political,Moral
What makes see waterfall symbolic?,Nature’s power,Reward system,Magic drink,God’s gift,Reward system
What does Taro represent?,Ideal son,Hero,Magician,King,Ideal son
