Question,Option A,Option B,Option C,Option D,Correct Answer
What is the central metaphor of the poem?,Wind,Kite,Bird,Childhood,Kite
Why is wind portrayed as powerful?,Controls kite,Unpredictable nature,Dominates movement,Both B and C,Both B and C
What does the kite’s struggle symbolize?,Human effort,Control vs freedom,Childhood effort,Nature fight,Control vs freedom
Why is calm air significant?,Rest,Loss of excitement,Dependence exposed,Both B and C,Both B and C
What poetic device dominates?,Simile,Personification,Imagery,Metaphor,Imagery
Why is kite personified?,Show struggle,Create liveliness,Relate to readers,Both B and C,Both B and C
What philosophical idea is present?,Balance of forces,Freedom vs restraint,Dependence on nature,All,All
Why does kite fall inevitably?,Gravity,Wind dependence,String limit,Both A and B,Both A and B
What does snapping string imply philosophically?,Ultimate freedom,Loss of control,End of dependence,Both B and C,Both B and C
Why is the poem experiential?,Sensory imagery,Personal experience,Movement focus,Both A and C,Both A and C
What does the kite’s dance represent?,Joy of play,Life energy,Freedom illusion,Both A and B,Both A and B
Why is wind both friend and enemy?,Lifts and destroys,Controls and releases,Supports and harms,All,All
What worldview is presented?,Human control,Nature dominance,Balance between both,Both B and C,Both B and C
Why is kite fragile?,Material weakness,Nature force dominance,Human limitation,All,All
What does the poet celebrate?,Childhood joy,Nature interaction,Simple pleasures,All,All
Why is imagery kinetic?,Movement emphasis,Wind action,Dynamic scene,Both A and B,Both A and B
What role does sound imagery play?,Enhance realism,Show motion,Add excitement,Both A and C,Both A and C
What is implied about control?,Temporary,Illusory,Dangerous,Both A and B,Both A and B
Why is poem non-moralistic?,Observation based,No advice,Experiential tone,Both A and C,Both A and C
What tension drives poem?,Rise vs fall,Wind vs string,Freedom vs control,All,All
Why is kite compared to bird?,Shared vulnerability,Shared freedom,Shared flight,Both B and C,Both B and C
What does wind symbolize?,Nature force,Life energy,Unpredictability,All,All
Why is poem universal?,Common experience,Nature interaction,Childhood memory,All,All
What does falling kite evoke?,End of joy,Reality check,Gravity law,Both A and B,Both A and B
What does poet avoid?,Explicit lesson,Judgment,Storytelling,Both A and B,Both A and B
Why is poem vivid?,Multi-sensory imagery,Simple diction,Rhythmic flow,All,All
What does kite’s movement mirror?,Life ups and downs,Human effort,Childhood joy,All,All
Why is balance crucial?,Prevent fall,Maintain joy,Sustain flight,Both A and C,Both A and C
What philosophical contrast exists?,Motion vs stillness,Freedom vs fall,Control vs chaos,All,All
What does poem imply about joy?,Short-lived,Dependent,Fragile,Both A and C,Both A and C
Why is wind unpredictable?,Natural force,Uncontrollable,Powerful,Both A and B,Both A and B
What does poem teach implicitly?,Enjoy moment,Accept limits,Respect nature,All,All
What does kite symbolize broadly?,Life,Childhood,Human desire,All,All
Why is poem observational?,No narration,Focus on action,Detached tone,Both B and C,Both B and C
What kind of freedom is shown?,Conditional,Temporary,Controlled,Both A and B,Both A and B
What does the snapping sound indicate?,Climax,End of tension,Failure,Both A and B,Both A and B
Why is poem suitable for children?,Simple imagery,Relatable subject,Clear rhythm,All,All
What does kite depend on externally?,Wind,Human control,Environment,Both A and C,Both A and C
What literary effect dominates?,Visual dynamism,Auditory movement,Emotional uplift,All,All
What is the poem’s core insight?,Joy needs balance,Nature controls play,Freedom has limits,Both A and C,Both A and C
What remains after fall?,Silence,Learning,Memory,Both B and C,Both B and C
