Question,Option A,Option B,Option C,Option D,Correct Answer
Why does Radha like being alone?,Fear of people,Love for freedom,Dislike of school,Anger,Love for freedom
What does Nasir’s dream reflect?,Greed,Environmental concern,Laziness,Fear,Environmental concern
Why is Rohit disciplined?,Parents force him,Coach scolds him,Practice routine,Fear,Practice routine
What does Serena’s routine show?,Carelessness,Determination,Weakness,Anger,Determination
Why does Dolma admire mountaineers?,Money,Fame,Courage,Fun,Courage
Why does Peter enjoy football?,Fame,Money,Team spirit,Marks,Team spirit
What does the chapter highlight?,Uniform education,Individual identity,Competition,Exams,Individual identity
Why are hobbies important?,Pass time,Shape identity,Waste time,Entertainment,Shape identity
What message does chapter convey?,Copy others,Be same,Accept individuality,Ignore dreams,Accept individuality
Why are children confident?,Support,Clear goals,Fearlessness,Luck,Clear goals
Nasir’s dream helps society by?,Planting trees,Teaching kids,Building houses,Selling plants,Planting trees
Rohit’s dream represents?,Discipline,Greed,Fear,Laziness,Discipline
Serena’s ambition requires?,Talent only,Practice,Money,Luck,Practice
Dolma’s dream shows?,Fearlessness,Anger,Weakness,Carelessness,Fearlessness
Peter’s game teaches?,Cheating,Cooperation,Competition only,Isolation,Cooperation
What does Radha reject?,Noise,Crowd,Rules,Both A and B,Both A and B
Why does chapter include many children?,Show sameness,Show diversity,Show competition,Show conflict,Show diversity
What value is central?,Marks,Obedience,Self-awareness,Speed,Self-awareness
What does the chapter promote?,Comparison,Acceptance,Judgement,Uniformity,Acceptance
Why is identity important?,For marks,For exams,For self-growth,For jobs,For self-growth
The children speak in?,First person,Third person,Second person,Passive,First person
What does chapter avoid?,Lecturing,Examples,Stories,Messages,Lecturing
Why is self-expression encouraged?,Build confidence,Reduce marks,Avoid rules,Control children,Build confidence
What do hobbies reveal?,Weakness,Strengths,Failures,Mistakes,Strengths
What is Radha’s personality?,Introvert,Aggressive,Lazy,Confused,Introvert
Nasir shows responsibility towards?,Family,Nature,Friends,Teachers,Nature
Rohit’s ambition needs?,Luck,Hard work,Cheating,Magic,Hard work
Serena’s sport requires?,Discipline only,Flexibility only,Both A and B,Neither,Both A and B
Dolma’s dream requires?,Fear,Training,Courage and training,Luck,Courage and training
Peter values?,Individual play,Team effort,Silence,Fear,Team effort
The chapter encourages children to?,Hide dreams,Share dreams,Compete,Compare,Share dreams
What is common among children?,Same dreams,Confidence,Same jobs,Same hobbies,Confidence
What does identity mean?,Name,Marks,Who you are,Job,Who you are
Why are dreams respected?,They differ,They shape future,They confuse,They distract,They shape future
What does chapter teach teachers?,Force children,Guide children,Compare children,Ignore dreams,Guide children
Why is individuality celebrated?,Build society,Promote harmony,Avoid conflict,Both A and B,Both A and B
The chapter tone is?,Strict,Encouraging,Humorous,Sad,Encouraging
What life skill is taught?,Competition,Self-confidence,Cheating,Fear,Self-confidence
What does Radha value most?,Crowd,Freedom,Rules,Fame,Freedom
Nasir’s ambition benefits?,Himself,Environment,Business,School,Environment
Rohit’s practice teaches?,Fear,Discipline,Laziness,Anger,Discipline
Serena’s dream reflects?,Talent only,Hard work,Magic,Luck,Hard work
Dolma’s goal shows?,Fear,Courage,Weakness,Anger,Courage
Peter’s sport develops?,Loneliness,Leadership,Team spirit,Silence,Team spirit
The chapter teaches respect for?,Sameness,Differences,Rules,Teachers,Differences
