Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the headmistress of the school?,Miss Beam,Miss Green,Miss Taylor,Miss Anne,Miss Beam
What kind of school is described?,Ordinary school,Boarding school,A different kind of school,Online school,A different kind of school
What does Miss Beam want to teach?,Only subjects,Kindness and responsibility,Games,Discipline only,Kindness and responsibility
Who visits the school?,Narrator,Teacher,Parent,Inspector,Narrator
What is Blind Day?,Students close eyes,Students wear bandages,No lights in school,Holiday,Students wear bandages
What is Lame Day?,Students sit all day,Students use crutches,Students hop,Students stay home,Students use crutches
What is Deaf Day?,Students don’t listen,Students don’t speak,Students cover ears,Students stay silent,Students don’t speak
Why are helpers needed?,To punish students,To help others,To teach lessons,To watch students,To help others
What do helpers do?,Play games,Guide affected students,Teach lessons,Write notes,Guide affected students
How do students feel on Blind Day?,Happy,Comfortable,Uncomfortable,Excited,Uncomfortable
What lesson does Blind Day teach?,Strength,Empathy,Speed,Discipline,Empathy
What lesson does Lame Day teach?,Patience,Sympathy,Speed,Anger,Sympathy
What lesson does Deaf Day teach?,Silence,Listening,Understanding difficulty in communication,Discipline,Understanding difficulty in communication
How many special days are there?,One,Two,Three,Four,Three
Do students take these days seriously?,No,Sometimes,Yes,Never,Yes
Why are books not enough according to Miss Beam?,They are boring,They are costly,Experience teaches better,They are old,Experience teaches better
What quality develops in students?,Fear,Kindness,Anger,Pride,Kindness
How do students behave towards helpers?,Rude,Indifferent,Grateful,Angry,Grateful
What happens to students after special days?,They forget lessons,They become kinder,They become lazy,No change,They become kinder
What kind of discipline exists?,Fear-based,Self-discipline,No discipline,Strict punishment,Self-discipline
What is the narrator’s reaction?,Bored,Angry,Impressed,Confused,Impressed
What does Miss Beam believe in?,Marks only,Values only,Games only,Rules only,Values only
What is taught along with academics?,Sports,Music,Values,Punishment,Values
What helps students understand others?,Rules,Books,Experience,Teachers,Experience
Why is the school unique?,No exams,No books,Special days,Different uniforms,Special days
What is Dumb Day?,Students don’t write,Students don’t read,Students stay silent,Students don’t hear,Students stay silent
How are students chosen for special days?,Punishment,Choice,Rotation,Teacher’s wish,Rotation
What do students learn from helpers?,Dependence,Teamwork,Cheating,Competition,Teamwork
What is the school environment?,Fearful,Competitive,Supportive,Strict,Supportive
Why do students obey rules?,Fear,Understanding,Force,Habit,Understanding
What value is most important?,Marks,Kindness,Rank,Speed,Kindness
What kind of learning is promoted?,Rote learning,Practical learning,Online learning,Fast learning,Practical learning
How do children react to difficulties?,Ignore,Quit,Laugh,Learn,Learn
What does Miss Beam want students to become?,Rich,Powerful,Responsible citizens,Famous,Responsible citizens
What does the narrator learn?,School rules,Teaching methods,Value of experience,Nothing,Value of experience
What does Blind Day represent?,Punishment,Game,Real-life experience,Holiday,Real-life experience
What happens when students struggle?,They quit,They are punished,They get help,They fail,They get help
What is the main theme?,Competition,Exams,Empathy and kindness,Discipline,Empathy and kindness
What kind of learning is shown?,Bookish,Experiential,Online,Theoretical,Experiential
Why do students respect Miss Beam?,Fear,Love,Understanding,Rules,Understanding
What value replaces fear?,Discipline,Empathy,Obedience,Competition,Empathy
What is the result of special days?,Better marks,Better behavior,No change,Less study,Better behavior
What makes the school different?,No teachers,Special lessons,No books,No exams,Special lessons
What is the narrator’s final feeling?,Sad,Angry,Inspired,Confused,Inspired
