Question,Option A,Option B,Option C,Option D,Correct Answer
What is the philosophical idea of the chapter?,Uniformity,Identity formation,Competition,Authority,Identity formation
Why is self-awareness essential?,Marks,Exams,Personal growth,Jobs,Personal growth
What does Radha symbolize?,Freedom of thought,Isolation,Loneliness,Fear,Freedom of thought
What does Nasir represent?,Greed,Environmental responsibility,Laziness,Fear,Environmental responsibility
What does Rohit’s discipline show?,Fear-driven effort,Intrinsic motivation,Luck,Pressure,Intrinsic motivation
What does Serena’s dedication highlight?,Natural talent only,Practice and perseverance,Magic,Luck,Practice and perseverance
What does Dolma symbolize?,Ambition,Fearlessness,Weakness,Anger,Fearlessness
What does Peter’s teamwork indicate?,Dependence,Leadership skills,Team coordination,Competition,Team coordination
What does the chapter critique?,Comparison culture,Self-expression,Freedom,Individualism,Comparison culture
Why are examples child-centric?,Easy understanding,Exam focus,Teacher control,Speed,Easy understanding
What role do hobbies play psychologically?,Time pass,Identity building,Distraction,Stress,Identity building
What is the narrative technique?,Essay,Monologue,Multiple perspectives,Dialogue,Multiple perspectives
Why is diversity emphasized?,Avoid conflict,Build inclusive society,Promote marks,Discipline,Build inclusive society
What does identity include?,Marks only,Interests and values,Job only,Age only,Interests and values
Why is conformity discouraged?,Limits growth,Increases marks,Maintains discipline,Reduces effort,Limits growth
What educational message is implied?,Standardize students,Nurture individuality,Test frequently,Punish errors,Nurture individuality
What humanistic value is promoted?,Obedience,Empathy,Self-respect,Fear,Self-respect
Why is self-expression powerful?,Builds confidence,Creates noise,Reduces marks,Increases fear,Builds confidence
What does chapter say about success?,Uniform path,Individual paths,Luck-based,Magic-based,Individual paths
Why is childhood important for identity?,Habits form early,Exams matter,Teachers decide,Career fixed,Habits form early
What social skill is reinforced?,Competition,Acceptance,Isolation,Control,Acceptance
What does Radha’s choice challenge?,Social norms,Rules,Teachers,Parents,Social norms
What does Nasir’s work ethic imply?,Future farmer,Sustainability,Profit motive,Laziness,Sustainability
Why is Rohit’s ambition realistic?,Discipline required,Magic exists,Luck present,Parents help,Discipline required
What does Serena’s story motivate?,Hard work,Cheating,Comparison,Fear,Hard work
What does Dolma’s goal reflect?,Adventure spirit,Escapism,Fantasy,Pressure,Adventure spirit
What does Peter’s game teach leadership?,Commanding,Collaboration,Authority,Control,Collaboration
What is the core humanistic theme?,Individual dignity,Power,Obedience,Authority,Individual dignity
Why is self-identity timeless?,Changes with age,Universal human need,Exam-based,Culture-bound,Universal human need
What does the chapter reject?,Uniform success,Individual success,Dreams,Freedom,Uniform success
Why are children voices authentic?,Direct expression,Teacher editing,Imagination only,Instruction,Direct expression
What is the emotional tone?,Didactic,Encouraging,Critical,Sad,Encouraging
What does the chapter encourage parents to do?,Force careers,Listen to children,Decide careers,Ignore dreams,Listen to children
What does individuality prevent?,Creativity,Growth,Stereotyping,Confidence,Stereotyping
What is the chapter’s universal message?,Be competitive,Be unique,Be obedient,Be silent,Be unique
Why is identity dynamic?,Fixed at birth,Grows with experience,Decided by parents,Decided by school,Grows with experience
What does the chapter teach educators?,Uniform teaching,Personalized guidance,Strict rules,Punishment,Personalized guidance
Why are dreams valid?,They differ,They motivate growth,They distract,They confuse,They motivate growth
What is the psychological impact of acceptance?,Confidence,Confusion,Fear,Anger,Confidence
What does the chapter affirm?,Marks define you,Dreams define you,Teachers define you,Parents define you,Dreams define you
What life philosophy is suggested?,Follow crowd,Know yourself,Chase money,Seek power,Know yourself
