Question,Option A,Option B,Option C,Option D,Correct Answer
Why does the kite need wind?,For color,For height,For movement,For beauty,For movement
What happens when the wind is steady?,Kite rests,Kite dances,Kite tears,Kite falls,Kite dances
Why does the kite tug?,Wind pressure,String loose,Stick weak,Paper thin,Wind pressure
What does the rustling sound show?,Fear,Movement,Joy,Anger,Movement
Why does the kite fall?,Wind stops,String tight,Stick breaks,Sun sets,Wind stops
What kind of wind is ideal?,No wind,Light wind,Strong steady wind,Storm,Strong steady wind
What does breaking string symbolize?,Freedom,Loss of control,Victory,Fun,Loss of control
Why does the kite struggle?,Wind too strong,String short,Stick weak,Paper heavy,Wind too strong
What does the poet compare the kite to?,Bird,Fish,Cloud,Plane,Bird
Why is the movement jerky?,Uneven wind,String pull,Paper weight,Both A and B,Both A and B
What role does string play?,Decoration,Control,Weight,Sound,Control
Why does kite tear?,Weak paper,Strong wind,Carelessness,Both A and B,Both A and B
What does calm air represent?,Rest,Failure,Silence,Stillness,Stillness
Why is kite playful?,Colorful,Dancing movement,Light weight,Children,Both A and B
What does wind roaring suggest?,Storm,Power,Anger,Noise,Power
What happens when kite is loose?,It rises,It falls,It breaks,It sleeps,It breaks
Why does kite dip suddenly?,Loss of balance,String pull,Wind change,Both B and C,Both B and C
What does tail do?,Balance kite,Decorate kite,Add weight,Slow wind,Balance kite
What kind of poem is this?,Narrative,Reflective,Descriptive,Didactic,Descriptive
What mood dominates?,Serious,Joyful,Angry,Sad,Joyful
Why is kite compared to bird?,Freedom,Movement,Flight pattern,All,All
What happens when wind drops suddenly?,Kite glides,Kite crashes,Kite spins,Kite rises,Kite crashes
Why is string tension important?,Prevent break,Control height,Maintain balance,Both B and C,Both B and C
What does kite depend on most?,Paper,Stick,String and wind,Color,String and wind
Why does kite fight?,Wind resistance,Control struggle,Height gain,Both A and B,Both A and B
What does poet admire?,Wind power,Kite beauty,Interaction of both,Both A and B,Both A and B
Why is strong wind risky?,Breaks kite,Uncontrollable,Damages string,Both A and B,Both A and B
What does falling kite indicate?,End of fun,Loss of wind,Broken string,Both A and B,Both A and B
What happens in breeze?,Smooth flight,No flight,Tearing,Stillness,Smooth flight
Why is kite light?,To rise,To look pretty,To move fast,To spin,To rise
What does fluttering show?,Weakness,Motion,Decoration,Fear,Motion
Why does kite need balance?,Stay airborne,Avoid tearing,Fly smoothly,All,All
What is the central image?,Wind,Kite in sky,Children,String,Kite in sky
What natural force is highlighted?,Sun,Wind,Rain,Cloud,Wind
Why is the poem vivid?,Sound imagery,Movement imagery,Visual imagery,All,All
What does poet focus on?,Making kite,Flying experience,Competition,Winning,Flying experience
What happens in storm?,Kite breaks,Kite flies high,Kite rests,Kite dances,Kite breaks
Why is kite playful?,Responds to wind,Moves freely,Shows life,Both A and B,Both A and B
What does snapping string teach?,Careful control,Avoid wind,Balance needed,All,All
What does kite’s fall remind of?,Gravity,Dependence,Nature’s power,Both B and C,Both B and C
Why does poet use simple language?,Children audience,Clarity,Rhythm,Both A and B,Both A and B
What is the poem’s pace?,Slow,Rhythmic,Fast,Uneven,Rhythmic
What is emphasized more?,Kite shape,Kite movement,Kite color,Kite size,Kite movement
Why is kite vulnerable?,Light material,Wind dependence,Human control,Both A and B,Both A and B
What lesson is indirect?,Balance joy,Control excitement,Respect nature,Both B and C,Both B and C
What does kite flying represent?,Fun activity,Childhood joy,Nature interaction,All,All
