Question,Option A,Option B,Option C,Option D,Correct Answer
What contrast does the poet make?,Rich and poor,House and home,Old and new,Big and small,House and home
Why is a house called lifeless?,No people,No furniture,No emotions,No doors,No emotions
What makes a home meaningful?,Size,Cost,Love and care,Design,Love and care
Why does poet describe house first?,It is important,It is physical,It is bigger,It is cheaper,It is physical
What does a house symbolize?,Structure,Emotion,Family,Security,Structure
What does a home symbolize?,Shelter,Heart,Building,Wealth,Heart
Why is love emphasized?,It builds walls,It creates comfort,It decorates house,It replaces money,It creates comfort
What kind of shelter is a house?,Emotional,Physical,Both,None,Physical
What kind of shelter is a home?,Physical,Emotional,Both,None,Emotional
What does poem suggest about happiness?,Money brings it,House brings it,Home brings it,None,Home brings it
Why are walls insufficient?,They don’t protect emotions,They fall easily,They are weak,They are costly,They don’t protect emotions
What does warmth represent?,Heat,Fire,Affection,Light,Affection
What role do people play?,Decoration,Foundation,Emotion creators,Noise makers,Emotion creators
What is poet’s tone?,Critical,Loveless,Warm and reflective,Angry,Warm and reflective
What does poem discourage?,Buying house,Building walls,Ignoring relationships,Living alone,Ignoring relationships
What is valued more than material?,Design,Money,Relationships,Space,Relationships
Why is a home lively?,Music plays,Furniture present,People interact,Rooms full,People interact
What happens without people?,House collapses,Home disappears,House remains empty,Nothing happens,House remains empty
What does poem teach children?,Architecture,Family values,Construction skills,Interior design,Family values
What makes place secure?,Locks,Doors,Trust and love,Guards,Trust and love
What is the emotional center?,House,Room,Home,None,Home
Why is home called heart?,It beats,It feels,It is alive,It pumps blood,It feels
What does poem imply about wealth?,Essential,Secondary,Unimportant,Harmful,Secondary
What kind of comfort is home?,Temporary,Physical,Emotional,None,Emotional
Why are beams mentioned?,Strength,Support,Material nature,Beauty,Material nature
What is poem’s purpose?,Entertain,Explain difference,Describe building,Tell story,Explain difference
What happens when love is absent?,Home exists,House exists,Emptiness occurs,Happiness increases,Emptiness occurs
What makes people belong?,Walls,Ownership,Relationships,Money,Relationships
What does poet celebrate?,Design,Construction,Human connection,Wealth,Human connection
What makes memories?,Rooms,Objects,People and moments,Paint,People and moments
Why is house temporary?,Can break,Can be sold,Lacks emotions,Needs repair,Lacks emotions
What does poem say about shelter?,Physical enough,Needs emotions,Needs money,Needs size,Needs emotions
What is emphasized through repetition?,Walls,Roof,Home concept,House concept,Home concept
Why is home stronger?,Concrete walls,Locks,Emotional bonds,Guards,Emotional bonds
What does poem reject?,Family,Belonging,Materialism,Emotion,Materialism
What is poet’s message?,Build homes,Buy houses,Love people,Decorate rooms,Love people
Why is house described as cold?,Weather,Design,No emotions,Stone material,No emotions
What kind of safety does home give?,Physical,Emotional,Both,None,Emotional
What does poem promote?,Architecture,Wealth,Human values,Modern life,Human values
Why is home lasting?,Strong walls,Good roof,Love remains,Big size,Love remains
What literary device is used?,Simile,Contrast,Metaphor,Allusion,Contrast
What does poem make readers reflect on?,Houses they own,Cost of houses,Value of relationships,Design ideas,Value of relationships
What does house depend on?,People,Money,Materials,Love,Materials
What does home depend on?,Materials,Money,People and feelings,None,People and feelings
What lesson is universal?,Buy home,Value emotions,Build houses early,Live alone,Value emotions
What defines real comfort?,Soft bed,Big house,Love and care,Decor,Love and care
