Question,Answer
"Who is the poet of 'A House, A Home'?","Lorraine M. Halli"
"What is a house made of?","Brick, stone, and hard wood"
"What can be found on the windows of a house?","Glass"
"What is the name for the overhanging edge of a roof?","Eaves"
"What is a chimney used for?","To carry smoke out of the house"
"What are 'stucco' and 'roof'?","Parts of a house's exterior"
"What does a house have 'lots of'?","Doors"
"Is a house a living or non-living thing?","Non-living thing"
"What is a home made of?","Love and family"
"Who are the people mentioned in a home?","Brothers, sisters, fathers, and mothers"
"What kind of acts happen in a home?","Unselfish acts"
"Whom do we share things with in a home?","Our loved ones"
"Is a home just a building?","No, it is a feeling of belonging"
"What is 'yard' a part of?","A house"
"Does a house have feelings?","No"
"What is the floor of a house made of?","Tile"
"What is the poet's main focus in the first stanza?","The physical materials of a house"
"What is the poet's main focus in the second stanza?","The emotions and people in a home"
"What do family members do for each other in a home?","They are kind and helpful"
"Can you have a home without a family?","According to the poem, a home is built by family"
"What is the 'stucco' used for?","Plastering the walls"
"What are the 'hard' things in a house?","Wood, brick, and stone"
"Is a house 'unselfish'?","No, only people in a home are unselfish"
"Does a house have a yard?","Yes"
"What is the synonym for 'Home' used in the poem?","Sharing and Love"
"What is 'tile' used for in a house?","Floors"
"Are there 'mothers' in a house?","A house only has materials; a home has mothers"
"What is the 'roof' made of?","Materials like tiles or wood"
"Does a house have windows?","Yes, often with glass"
"What is the 'unselfish' part of a home?","The acts of the family members"
"What is the main difference between a house and a home?","Materials vs. Emotions"
"What does 'kindly' describe in the poem?","The behavior of family members"
"What is 'brick' used for?","Building walls"
"What is 'stone' used for?","Building the structure"
"Is 'A House, A Home' a long poem?","No, it is a short, two-stanza poem"
"What is 'sharing' a part of?","A home"
"What is 'showing' care a part of?","A home"
"Does a home have doors?","The poem mentions doors for a house"
"Are 'brothers' found in a house or a home?","A home"
"What makes a home 'warm'?","Love and care"
"What is the 'chimney' made of?","Usually brick or stone"
"Is a house 'loving'?","No"
"What is 'stucco'?","Fine plaster used for walls"
"Who are the 'loved ones'?","Family members"
"What is 'unselfish'?","Putting others before yourself"
"Is 'wood' in the house soft or hard?","Hard"
"What are 'eaves'?","The edges of the roof that stick out"
"Does the poet like a home more than a house?","The poet values the home more"
"What is the 'yard'?","The open area outside a house"
"What is the 'home's' most important ingredient?","Love"
