Question,Answer
"Why does the poet use the word 'hard' for wood?","To emphasize the cold, physical nature of a house"
"What is the significance of 'unselfish acts'?","They are the foundation of a happy family life"
"Explain the phrase 'sharing with your loved ones'.","It means giving your time and care to family"
"How does 'stucco' add to the description of a house?","It describes the decorative but lifeless exterior"
"What is the difference between 'house' and 'home' windows?","House windows are glass; home windows see love"
"Why are 'fathers and mothers' essential to a home?","Because they provide the care and guidance needed"
"What does 'loving and family' imply about a home?","That a home is a social and emotional unit"
"How is a chimney more than just a pipe in a house?","It is a physical feature that adds to the structure"
"What is the 'soul' of a home according to the poem?","The family and their love for each other"
"Why does the poet repeat 'What is a...'?","To create a clear contrast between the two concepts"
"Explain the importance of 'unselfishness' in a family.","It prevents conflict and builds trust"
"How does a 'yard' make a house look?","It provides a boundary and a physical setting"
"What does 'always caring' mean in the poem?","Continuous love that doesn't stop"
"How do 'brothers and sisters' contribute to a home?","They provide companionship and shared growth"
"What is the 'physical' vs 'emotional' aspect of the poem?","House is physical; Home is emotional"
"Why is 'glass' mentioned for windows?","To show that a house is made of brittle, cold materials"
"What is the 'purpose' of a house?","To provide shelter"
"What is the 'purpose' of a home?","To provide love and security"
"How does 'tile' contribute to the house?","It is a cold material for the floor"
"Why does the poet use 'loved ones' instead of 'people'?","To show a deeper emotional connection"
"What is the meaning of 'eaves' in the poem?","A structural detail of the roof"
"How does 'love' change a building into a home?","It adds warmth, meaning, and life to the walls"
"Explain 'doing for others'.","It is the act of service within a family"
"What does 'kindly sharing' look like?","Helping each other without being asked"
"Why are there 'lots of doors' in a house?","To show it is a complex physical structure"
"Is a home a 'place' or a 'feeling'?","It is both, but mostly a feeling"
"How does the poet describe the 'walls'?","As being covered in stucco"
"What is the 'hard' wood used for?","Doors and frames"
"Why is 'stone' mentioned?","To show the strength and weight of a house"
"What does 'unselfish' mean in a practical sense?","Sharing your toys or helping with chores"
"How does the poet view 'family'?","As the creators of a home"
"Why is 'showing you're caring' important?","Because love must be expressed to be felt"
"What is the 'result' of a house without love?","It remains just a cold building"
"What is the 'result' of a home?","A happy and safe environment"
"Why does the poet use 'and' between brothers and sisters?","To show they are all part of one unit"
"What is 'stucco and roof' meant to represent?","The top and sides of the house structure"
"Is a house 'limited'?","Yes, it is limited to its materials"
"Is a home 'unlimited'?","Yes, because love has no bounds"
"How does the poet create 'imagery'?","By naming specific materials like brick and glass"
"What is the 'tone' of the poem?","Informative and heartfelt"
"How does 'brick' make a house feel?","Solid but impersonal"
"What is the 'essence' of a home?","Togetherness"
"Why mention 'fathers'?","As a pillar of the family unit"
"Why mention 'mothers'?","As a nurturing force in the home"
"What is the 'sharing' of a home?","Sharing joy, sorrow, and daily life"
"How is 'home' a 'selfless' place?","Everyone thinks of others first"
"What is the 'exterior' of the house?","Yard, eaves, and chimneys"
"What is the 'interior' of a home?","Love, kindness, and sharing"
"Can a house be bought?","Yes"
"Can a home be bought?","No, it must be built with love"
