Question,Answer
"Who is the poet of 'Whatif'?","Shel Silverstein"
"When do the 'Whatifs' usually arrive?","At night (while in bed)"
"Where did the 'Whatifs' crawl into the poet?","Into his ear"
"What did the 'Whatifs' do inside the poet's head?","Pranced and partied"
"What is the first 'Whatif' mentioned?","Whatif I'm dumb in school?"
"What happens to the swimming pool in the 'Whatif' song?","It gets closed"
"What is the poet worried might be in his cup?","Poison"
"What does the poet fear might happen to his teeth?","They grow in crooked"
"What color hair does the poet fear might grow on his chest?","Green"
"What is the poet afraid of doing in public?","Starting to cry"
"What does the poet fear might happen to the house?","The wind tears it down"
"What 'Whatif' is related to his parents?","Whatif they get a divorce?"
"What happens to the poet's height in his head?","Whatif he doesn't grow an inch?"
"What is the poet afraid of failing?","A test ('flunk that test')"
"What does the poet fear might strike?","Lightning"
"Does the poet worry about people liking him?","Yes ('Whatif nobody likes me?')"
"What happens to the poet's jaw in one 'Whatif'?","It gets stuck"
"What is the poet afraid of catching?","A sickness ('get sick and die')"
"When does the poet feel 'everything is swell'?","In the morning/daytime"
"Do the 'Whatifs' come back every night?","Yes, they strike again at night"
"What does 'pranced' mean?","To move with high, springy steps"
"What is a 'hymn book' (referenced from earlier)?","(N/A - This poem focuses on personal fears)"
"What does the poet fear might happen to his pants?","Whatif they tear?"
"What activity does the poet fear he'll never learn?","To dance"
"What is the 'Whatif' song?","The repetitive thoughts of worry"
"Does the poet worry about a war starting?","Yes"
"What happens to the bus in the poet's mind?","Whatif the bus is late?"
"Where is the poet lying?","In bed"
"Is the 'Whatif' song long or short?","It lasted 'all night long'"
"What does 'dumb in school' mean?","Feeling unintelligent or slow"
"What is 'crooked'?","Not straight or well-formed"
"What does 'flunk' mean?","To fail"
"Is the poet happy at night?","No, he is worried"
"What does 'struck' mean regarding the Whatifs?","To happen or attack suddenly"
"Does the poet worry about his head?","No, his chest and jaw"
"What does 'everything is swell' mean?","Everything is going great"
"What is the 'Whatif' that happens 'all of a sudden'?","The thoughts return at night"
"Does the poet worry about his kite? (From Ch 2)","No, the house and the wind"
"Is the 'Whatif' song a new song?","He calls it his 'Old Whatif song'"
"What does 'crawled' imply?","A slow, creepy movement"
"What is 'poison in my cup' a symbol of?","Fear of danger in ordinary things"
"Does the poet fear being beaten up?","Yes"
"What happens to his hair?","He fears it grows green"
"Does he worry about his parents' marriage?","Yes (divorce)"
"Is the poem funny or scary?","It is a mix of both (playful but relatable anxiety)"
"What is the 'Whatif' about lightning?","Whatif it strikes?"
"What does 'partied' imply?","The thoughts were loud and active"
"Is the poet an adult in the poem?","It is written from a child’s perspective"
"What is the 'morning' a symbol of?","Relief and reality"
"Does the poet want the 'Whatifs' to stay?","No"
