Question,Answer
"Who is the poet of 'Beauty'?","E-Yeh-Shure"
"In what natural light is beauty seen?","Sunlight"
"What two types of plants are mentioned in the first stanza?","Trees and corn"
"What animals are mentioned as being beautiful?","Birds"
"What are the people doing with the corn?","Growing it"
"Why are people dancing in the first stanza?","For their harvest"
"When can beauty be heard?","In the night"
"What is the wind doing in the second stanza?","Sighing"
"What is the rain doing?","Falling"
"What is a singer doing that is considered beautiful?","Chanting"
"How should a singer be chanting to be beautiful?","In earnest"
"Where does beauty live according to the third stanza?","In yourself"
"What kind of 'deeds' are called beautiful?","Good deeds"
"What kind of 'thoughts' are called beautiful?","Happy thoughts"
"Where do happy thoughts repeat themselves?","In your dreams"
"Besides dreams, where else do happy thoughts repeat?","In your work and your rest"
"Can beauty be seen in the blue?","The poem mentions trees and sunlight, not specifically 'the blue'"
"Is beauty something you can only see?","No, you can hear it and feel it inside"
"What are the three main places beauty exists?","In what we see, what we hear, and in ourselves"
"Does the poet think work can be beautiful?","Yes"
"Does the poet think resting can be beautiful?","Yes"
"What is a 'harvest'?","The gathering of ripe crops"
"What is the 'sunlight' a source of?","Beauty"
"How many stanzas are in the poem?","Three"
"What is the main topic of the first stanza?","Beauty that is seen"
"What is the main topic of the second stanza?","Beauty that is heard"
"What is the main topic of the third stanza?","Beauty that is within us"
"Is a singer's voice beautiful if they are not 'in earnest'?","The poem suggests earnestness makes it beautiful"
"What does 'sighing' describe?","The sound of the wind"
"Are 'good deeds' seen or heard?","They are part of internal beauty"
"Does beauty disappear when we sleep?","No, it repeats in our dreams"
"Is corn growing a beautiful sight?","Yes"
"Are birds beautiful when they fly or sing?","The poem mentions seeing them"
"What does 'earnest' mean?","Sincere or serious"
"Can you find beauty in the night?","Yes, you can hear it"
"Is rain falling a beautiful sound?","Yes"
"What does 'repeat' mean in the poem?","To happen again"
"Does beauty belong to everyone?","Yes, it is 'in yourself'"
"What is the 'chanting' of a singer?","Rhythmic singing or shouting"
"Is beauty a feeling?","Yes, as shown in the third stanza"
"Is beauty only in expensive things?","No, it is in nature and thoughts"
"What is 'rest'?","Taking a break or sleeping"
"What are 'happy thoughts'?","Positive and cheerful ideas"
"Are trees beautiful in the sunlight?","Yes"
"What are the 'people' doing in the poem?","Working and dancing"
"What does the poet want us to find?","Beauty in everything"
"Is beauty 'inside' or 'outside'?","It is both"
"Does the wind make a sound in the poem?","Yes, it sighs"
"What is the 'result' of good deeds?","Internal beauty"
"Is 'Beauty' a long or short poem?","Short"
