Question,Answer
"What was the dog's life like before he had a master?","He lived like the wolves, free and in fear of no one"
"Why was the dog sick and tired?","He was tired of wandering for food and being scared of stronger animals"
"Who was the dog’s first choice for a master?","A big, strong Wolf"
"Who was the Wolf afraid of?","The Bear"
"Why did the dog leave the Wolf?","Because the Wolf was afraid of the Bear"
"Who was the dog’s second master?","The Bear"
"Which animal did the Bear want to hunt?","A cow"
"Who was the Bear afraid of?","The Lion"
"Why did the dog leave the Bear?","Because the Bear hid from the Lion"
"Who is known as the king of the forest?","The Lion"
"Who was the dog’s third master?","The Lion"
"How long did the dog stay with the Lion?","A long, long time"
"Was the dog happy with the Lion?","Yes, he felt safe"
"What did the Lion do when he smelled a man?","He gave a great roar and struck the ground with his paw"
"Why did the dog leave the Lion?","Because the Lion was afraid of Man"
"Who was the dog’s final master?","Man"
"What is the dog known as to Man?","Man's most loyal servant"
"In what kind of area is the story set?","The forest"
"Did the dog find a master who was stronger than anyone else?","Yes, Man"
"Does the dog still serve Man today?","Yes"
"What did the Wolf call the dog?","Cousin"
"What was the Bear doing when the dog met him?","He was walking through the forest"
"Where did the Bear hide when he saw the Lion?","Behind the trees"
"Who is the strongest of all creatures?","Man"
"What did the dog want to be to his master?","A servant"
"What kind of sound did the Lion make?","A roar"
"Did the dog have to look for his own food while serving the Lion?","No"
"Was there anyone stronger than the Lion in the forest?","No"
"Why did the dog want a master?","To be safe and fed"
"Which animal has a 'fierce' look in the story?","The Wolf"
"What did the dog say to the Wolf?","Will you be my master?"
"What did the Wolf reply?","I don't see why not"
"Why did the Bear and Dog run together?","To find a herd of cows"
"What happened to the cows?","They were running in a panic"
"What made the cows run in a panic?","A terrible noise"
"Why did the Lion back away from the Man?","Because he was afraid"
"What did the dog say to the Lion when he left?","I want a master who is stronger than anyone on earth"
"Is this a true story or a folk tale?","A folk tale"
"What does 'loyal' mean?","Faithful and dedicated"
"Did the dog ever go back to the forest?","No"
"Who did the Lion tell the dog to stay away from?","Man"
"What was the dog's main problem at the start?","He was ill-pleased with his way of life"
"Was the dog a wild animal at the beginning?","Yes"
"What did the Bear think of the Lion?","That he was the strongest"
"How did the dog ask the Lion to be his master?","He went up to him and asked"
"Did the Lion accept the dog's request?","Yes"
"What did the dog do for the Lion?","He served him"
"Why did the dog feel 'ill-pleased'?","Because he didn't like being hungry and scared"
"What did the Man do to the dog at the end?","The dog stayed with him and served him faithfully"
"What is the main theme of the story?","The origin of the bond between dogs and humans"
