Question,Answer
"What is Radha’s favorite activity?","Climbing trees"
"Where is the mango tree that Radha climbs?","Outside her house"
"Who told Radha that it is not sensible for girls to climb trees?","Her mother"
"What does Radha’s mother eventually do?","She climbs the tree with Radha"
"What did Radha and her mother eat at the top of the tree?","Raw mangoes"
"What is Nasir’s family’s profession?","Farming (Cotton growers)"
"Where does Nasir’s family live?","In a village"
"What does Nasir want to become?","A seed collector"
"Why does Nasir’s father spend a lot of money every year?","To buy new cotton seeds"
"Who told Nasir that they used to collect seeds from their own plants?","His grandfather"
"What does Nasir want to learn to preserve?","Seeds"
"What does Rohit want to do if he had huge amounts of money?","Travel the world"
"Which mountains does Rohit want to see in New Zealand?","The Southern Alps"
"Where does Rohit want to see the Great Barrier Reef?","Australia"
"Which river in South America does Rohit want to sail down?","The Amazon"
"What city in Egypt does Rohit want to visit?","The Pyramids (Giza)"
"What city in China does Rohit want to visit?","Beijing"
"What does Serbjit feel when people don't believe him?","Very angry"
"What does Serbjit do to hide his anger?","Looks down at his shoes and counts to ten"
"Who doubts Serbjit when he says he did his homework?","His teacher"
"Who doubts Serbjit when he says his brother started the fight?","His parents"
"What does Dolma want to become in the future?","The Prime Minister of India"
"Why do Dolma’s classmates come to her?","When they have a problem"
"What kind of things does Dolma want to build for her country?","Hospitals, roads, and schools"
"What does Dolma want to send to the moon?","A spaceship"
"What is Peter’s favorite day of the month?","The second Sunday"
"Where does Peter’s family go on his favorite day?","To the cinema"
"What does Peter’s father buy for everyone in the interval?","Peanuts"
"What does Peter’s family eat after the movie?","Ice cream"
"How does Peter feel at the end of his favorite day?","Very lucky and happy"
"Does Radha feel scared at the top of the tree?","No, she feels like she can rule the world"
"What crop does Nasir's family grow?","Cotton"
"Which islands in India does Rohit want to visit to see coral?","Lakshadweep"
"What is the name of the 'Old City' Rohit wants to see in China?","The Forbidden City"
"Does Serbjit's teacher think he is lying?","Yes"
"What does Dolma say she has a lot of?","Confidence"
"How many people are in Peter's family?","Five (Parents, two brothers, and himself)"
"What is the title of the chapter?","Who I Am"
"Does Nasir want to spend his father's money?","No, he wants to save it"
"What is the 'terrible noise' (from Chapter 2) compared to here?","The noise of the cinema for Peter"
"What does Radha's mother think of her climbing at first?","She thinks it is not sensible"
"What does Nasir want to go to a library for?","To find out how to preserve seeds"
"Does Rohit prefer nature or buildings?","Nature (but he likes old cities too)"
"Why does Serbjit look at his shoes?","To make himself look calm"
"What is the common theme of the chapter?","Uniqueness and diversity"
"Does Dolma want to be a scientist?","She wants to ensure there are good scientists in India"
"Is Peter the youngest in his family?","The text mentions two brothers but not the age order"
"What color is the blouse Radha's mother wears? (From Ch 5)","(N/A - This chapter focuses on her climbing)"
"What does Nasir's grandfather represent?","Past wisdom in farming"
"What does Dolma want to improve in India?","The infrastructure and services"
