Question,Answer
"What was Taro’s profession?","A young woodcutter"
"Where did Taro live?","On a lonely hillside"
"How did Taro feel about his parents?","He was a thoughtful and loving son"
"Why was Taro sad despite working hard?","Because he earned very little money"
"What did Taro’s father wish for on a cold evening?","A cup of sake"
"What is 'sake'?","A popular and expensive Japanese drink"
"What did Taro do the morning after his father's wish?","He went to work earlier than ever"
"What sound did Taro hear in the forest?","The sound of rushing water"
"Was there usually a waterfall in that part of the forest?","No, he had never seen one there before"
"Why was Taro thirsty?","Because he was working hard in the sun"
"What did Taro find behind a rock?","A beautiful little waterfall"
"What did Taro use to taste the liquid?","He put a little in his hands"
"What did the water taste like to Taro?","Delicious sake"
"What did Taro carry the sake in?","A pitcher"
"How did the father feel after drinking the sake?","He was delighted and stopped shivering"
"What did the father do to show his happiness?","He did a little dance in the middle of the floor"
"Who came to visit Taro's house that afternoon?","A neighbor lady"
"What did Taro’s father offer the visitor?","A cup of the sake"
"Did Taro tell the neighbor the story of the magic waterfall?","Yes"
"How quickly did the story spread through the village?","By nightfall"
"What did the villagers carry to the waterfall the next morning?","Pitchers, jars, and buckets"
"Who reached the waterfall first?","The villagers"
"What did the waterfall give to the villagers?","Cold water"
"Why were the villagers angry?","Because they thought they had been tricked"
"What did the villagers want to do to Taro?","Drown him in the waterfall"
"Where did Taro hide from the angry villagers?","Behind a rock"
"What happened when Taro tasted the water again?","It was still fine sake"
"Why did the waterfall give sake to Taro?","Because he was a thoughtful son"
"Why did the waterfall give water to the others?","Because they were greedy"
"Who heard the story of Taro and the waterfall?","The Emperor of Japan"
"How many pieces of gold did the Emperor give Taro?","Twenty pieces"
"Why did the Emperor reward Taro?","For being good and kind to his parents"
"What did the Emperor name after Taro?","The most beautiful fountain in the city"
"Did Taro's father feel warm after drinking sake?","Yes"
"Was the waterfall magic for everyone?","No, only for Taro"
"What did Taro do for a living?","Chopped wood"
"What was the weather like when the father made his wish?","Very cold with whistling winds"
"Did Taro work on Sundays?","The story says he worked every day"
"Did the villagers find sake at the waterfall?","No, only plain water"
"What did the villagers shout when they tasted the water?","Water! Nothing but water!"
"How did Taro feel when he heard the villagers?","He stayed hidden and quiet"
"What did Taro's father do after one swallow of sake?","He stopped shivering"
"Was Taro a greedy boy?","No, he was very selfless"
"Where did Taro go to chop wood?","Deep in the forest"
"What was Taro's pitcher made of?","Not specified, but he had one"
"Did the neighbor lady enjoy the sake?","Yes, she drank it greedily"
"What was the 'reward' in the story's title?","Gold and the honor from the Emperor"
"Is Taro's Reward a Japanese story?","Yes"
"Was the waterfall big or small?","A beautiful little waterfall"
"Did Taro become famous?","Yes, the Emperor honored him"
