Question,Answer
Light is a form of energy.,True
Sources of light are called luminous objects.,True
The Sun is a natural source of light.,True
A torch is an artificial source of light.,True
Moon is a luminous object.,False
Shadows are formed when light is blocked.,True
Transparent objects allow light to pass completely.,True
Translucent objects allow some light to pass.,True
Opaque objects do not allow light to pass.,True
Plane mirrors form virtual images.,True
Virtual images cannot be captured on screen.,True
Concave mirrors converge light.,True
Convex mirrors diverge light.,True
Reflection is bouncing back of light.,True
Mirrors change left and right of image.,True
Mirrors change top and bottom of image.,False
Lateral inversion occurs in plane mirror.,True
Shadows change size with distance from light.,True
Shadows are darkest when object is opaque.,True
Light travels in straight lines.,True
Reflection does not change speed of light.,True
Smooth surfaces give clear reflection.,True
Rough surfaces scatter light.,True
Shadows disappear in darkness.,True
Transparent objects do not form shadow.,True
Translucent objects form faint shadow.,True
Opaque objects form full shadow.,True
Image in plane mirror is same size as object.,True
Light can be absorbed, reflected or transmitted.,True
Concave mirror can form real image.,True
Convex mirror forms only virtual image.,True
Shadows are longest in morning and evening.,True
Shadows are shortest at noon.,True
Light is necessary to see objects.,True
Shiny surfaces reflect more light.,True
Dull surfaces reflect less light.,True
Objects cannot be seen in absence of light.,True
Light travels faster than sound.,True
Light can bend when it passes from one medium to another.,True
Refraction is bending of light.,True
Lenses are used to focus light.,True
Convex lens converges light.,True
Concave lens diverges light.,True
Magnifying glass is a convex lens.,True
Reflection obeys law of reflection.,True
Angle of incidence equals angle of reflection.,True
Flat mirror forms same size image.,True
Concave mirrors can form magnified images.,True
Convex mirrors are used in vehicles for wide view.,True
