Question,Answer
Motion is the change in position of an object.,True
Stationary objects do not move.,True
Distance is the total path covered by an object.,True
Displacement is the shortest distance between initial and final position.,True
Speed is distance divided by time.,True
Velocity includes speed and direction.,True
Acceleration is the rate of change of velocity.,True
Objects at rest have zero velocity.,True
Uniform motion has constant speed.,True
Non-uniform motion has changing speed.,True
Time is measured in seconds.,True
Distance can be measured using a meter scale.,True
Long distances can be measured using a kilometre.,True
1 kilometre equals 1000 meters.,True
A stopwatch measures time.,True
Motion can be rectilinear, circular or curvilinear.,True
An odometer measures distance travelled by a vehicle.,True
Motion depends on the reference point.,True
Average speed is total distance divided by total time.,True
Instantaneous speed is speed at a given moment.,True
Displacement can be negative.,True
Acceleration can be positive or negative.,True
A falling object accelerates due to gravity.,True
Objects in uniform motion do not accelerate.,True
Motion can be periodic or non-periodic.,True
A pendulum exhibits periodic motion.,True
Motion of a fan blade is circular.,True
Earth’s rotation is a motion.,True
Motion is relative.,True
Speed is scalar quantity.,True
Velocity is vector quantity.,True
Distance cannot be negative.,True
Displacement can be zero.,True
A train moving east at 60 km/h has velocity.,True
A car stopping has negative acceleration.,True
Speedometer shows instantaneous speed.,True
Distance is measured in meters in SI units.,True
Time interval is the difference between two times.,True
Faster objects cover more distance in less time.,True
Acceleration can change direction.,True
Uniform circular motion has constant speed.,True
Displacement in circular motion is zero after one complete rotation.,True
Motion can be described by distance-time graphs.,True
Slope of distance-time graph gives speed.,True
Slope of velocity-time graph gives acceleration.,True
Position-time graph is used to study motion.,True
Time is scalar.,True
Motion can be relative to different reference points.,True
Speed does not indicate direction.,True
Velocity changes if direction changes even at constant speed.,True
