Question,Answer
Muscles help in body movement.,True
Bones give shape to our body.,True
Joints connect bones.,True
Elbow is a hinge joint.,True
Knee is a hinge joint.,True
Shoulder is a ball and socket joint.,True
Neck is a pivot joint.,True
Skull has immovable joints.,True
Muscles work in pairs.,True
Biceps help in bending the elbow.,True
Triceps help in straightening the elbow.,True
Heart is an involuntary muscle.,True
Skeletal muscles are voluntary.,True
Smooth muscles work without conscious control.,True
Tendons connect muscles to bones.,True
Ligaments connect bones to bones.,True
Muscles contract to move bones.,True
Back muscles help maintain posture.,True
Leg muscles help in walking.,True
Jaw muscles help in chewing.,True
Facial muscles help in expressions.,True
Diaphragm helps in breathing.,True
Strongest muscle is jaw muscle.,True
Smallest muscle is in the ear.,True
Movable joints allow motion.,True
Fixed joints do not allow motion.,True
Ball and socket joint allows rotation.,True
Hinge joint allows bending and straightening.,True
Pivot joint allows turning of head.,True
Muscles need energy to work.,True
Muscles can only pull, not push.,True
Muscles can get tired.,True
Muscles get stronger with exercise.,True
Bones are hard due to calcium.,True
Bone marrow produces blood cells.,True
Bones are alive.,True
Muscles are attached to bones by tendons.,True
Ligaments prevent excessive movement of joints.,True
Some muscles work continuously.,True
Heart muscles never tire.,True
Biceps contract during flexion.,True
Triceps contract during extension.,True
Neck muscles move the head.,True
Knee allows bending of leg.,True
Elbow allows bending of arm.,True
Muscles cannot stretch beyond a limit.,True
Muscles are soft tissues.,True
Skeleton protects internal organs.,True
Ribs protect lungs and heart.,True
Vertebral column protects spinal cord.,True
